boro,reported,candidate,party,votes,scrape_time
New York,98.60%,Daniel Goldman,(Democratic),85231,2024-11-13_13:13:16.976985
New York,98.60%,Alexander Dodenhoff,(Republican),17760,2024-11-13_13:13:16.976985
New York,98.60%,Paul J. Briscoe,(Conservative),2691,2024-11-13_13:13:16.976985
New York,98.60%,WRITE-IN,,826,2024-11-13_13:13:16.976985
Kings,97.81%,Daniel Goldman,(Democratic),101760,2024-11-13_13:13:16.976985
Kings,97.81%,Alexander Dodenhoff,(Republican),16817,2024-11-13_13:13:16.976985
Kings,97.81%,Paul J. Briscoe,(Conservative),3482,2024-11-13_13:13:16.976985
Kings,97.81%,WRITE-IN,,2910,2024-11-13_13:13:16.976985
Total,,Daniel Goldman,(Democratic),186991,2024-11-13_13:13:16.976985
Total,,Alexander Dodenhoff,(Republican),34577,2024-11-13_13:13:16.976985
Total,,Paul J. Briscoe,(Conservative),6173,2024-11-13_13:13:16.976985
Total,,WRITE-IN,,3736,2024-11-13_13:13:16.976985
