boro,reported,candidate,party,votes,scrape_time
New York,96.69%,Edafe Okporo,(Democratic),7511,2025-07-02_13:53:28.722729
New York,96.69%,Shaun Abreu,(Democratic),18881,2025-07-02_13:53:28.722729
New York,96.69%,Tiffany Khan,(Democratic),3556,2025-07-02_13:53:28.722729
New York,96.69%,WRITE-IN,,146,2025-07-02_13:53:28.722729
Total,,Edafe Okporo,(Democratic),7511,2025-07-02_13:53:28.722729
Total,,Shaun Abreu,(Democratic),18881,2025-07-02_13:53:28.722729
Total,,Tiffany Khan,(Democratic),3556,2025-07-02_13:53:28.722729
Total,,WRITE-IN,,146,2025-07-02_13:53:28.722729
