boro,reported,candidate,party,votes,scrape_time
Richmond,99.00%,Frank Morano,(Republican),3271,2025-07-02_13:54:32.04045
Richmond,99.00%,Griffin T. Fossella,(Republican),366,2025-07-02_13:54:32.04045
Richmond,99.00%,John K. Buthorn,(Republican),321,2025-07-02_13:54:32.04045
Richmond,99.00%,WRITE-IN,,22,2025-07-02_13:54:32.04045
Total,,Frank Morano,(Republican),3271,2025-07-02_13:54:32.04045
Total,,Griffin T. Fossella,(Republican),366,2025-07-02_13:54:32.04045
Total,,John K. Buthorn,(Republican),321,2025-07-02_13:54:32.04045
Total,,WRITE-IN,,22,2025-07-02_13:54:32.04045
