boro,reported,candidate,party,votes,scrape_time
Queens,98.21%,James Sanders Jr.,(Democratic),61186,2024-11-13_13:13:28.76822
Queens,98.21%,Michael A. O'Reilly,(Republican),23547,2024-11-13_13:13:28.76822
Queens,98.21%,Michael A. O'Reilly,(Conservative),2001,2024-11-13_13:13:28.76822
Queens,98.21%,James Sanders Jr.,(Working Families),2471,2024-11-13_13:13:28.76822
Queens,98.21%,Michael A. O'Reilly,(Common Sense),364,2024-11-13_13:13:28.76822
Queens,98.21%,WRITE-IN,,127,2024-11-13_13:13:28.76822
Total,,James Sanders Jr.,(Democratic),61186,2024-11-13_13:13:28.76822
Total,,Michael A. O'Reilly,(Republican),23547,2024-11-13_13:13:28.76822
Total,,Michael A. O'Reilly,(Conservative),2001,2024-11-13_13:13:28.76822
Total,,James Sanders Jr.,(Working Families),2471,2024-11-13_13:13:28.76822
Total,,Michael A. O'Reilly,(Common Sense),364,2024-11-13_13:13:28.76822
Total,,WRITE-IN,,127,2024-11-13_13:13:28.76822
