boro,reported,candidate,party,votes,scrape_time
New York,97.25%,YES,,276131,2024-11-13_13:15:17.292113
New York,97.25%,NO,,247955,2024-11-13_13:15:17.292113
Bronx,97.60%,YES,,204835,2024-11-13_13:15:17.292113
Bronx,97.60%,NO,,83915,2024-11-13_13:15:17.292113
Kings,97.95%,YES,,308645,2024-11-13_13:15:17.292113
Kings,97.95%,NO,,319851,2024-11-13_13:15:17.292113
Queens,97.65%,YES,,342394,2024-11-13_13:15:17.292113
Queens,97.65%,NO,,227458,2024-11-13_13:15:17.292113
Richmond,97.22%,YES,,83047,2024-11-13_13:15:17.292113
Richmond,97.22%,NO,,86825,2024-11-13_13:15:17.292113
Total,,YES,,1215052,2024-11-13_13:15:17.292113
Total,,NO,,966004,2024-11-13_13:15:17.292113
