ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Chantel Jackson,(Democratic),447,AD 79,2024-11-07_14:08:59.349187
ED    1,99.00%,Sharon Darby,(Republican),73,AD 79,2024-11-07_14:08:59.349187
ED    1,99.00%,Emmanuel A. Findlay Jr.,(Conservative),13,AD 79,2024-11-07_14:08:59.349187
ED    1,99.00%,WRITE-IN,&nbsp,0,AD 79,2024-11-07_14:08:59.349187
ED    2,99.00%,Chantel Jackson,(Democratic),62,AD 79,2024-11-07_14:08:59.349187
ED    2,99.00%,Sharon Darby,(Republican),24,AD 79,2024-11-07_14:08:59.349187
ED    2,99.00%,Emmanuel A. Findlay Jr.,(Conservative),7,AD 79,2024-11-07_14:08:59.349187
ED    2,99.00%,WRITE-IN,&nbsp,1,AD 79,2024-11-07_14:08:59.349187
ED    3,99.00%,Chantel Jackson,(Democratic),378,AD 79,2024-11-07_14:08:59.349187
ED    3,99.00%,Sharon Darby,(Republican),73,AD 79,2024-11-07_14:08:59.349187
ED    3,99.00%,Emmanuel A. Findlay Jr.,(Conservative),11,AD 79,2024-11-07_14:08:59.349187
ED    3,99.00%,WRITE-IN,&nbsp,0,AD 79,2024-11-07_14:08:59.349187
ED    4,99.00%,Chantel Jackson,(Democratic),247,AD 79,2024-11-07_14:08:59.349187
ED    4,99.00%,Sharon Darby,(Republican),82,AD 79,2024-11-07_14:08:59.349187
ED    4,99.00%,Emmanuel A. Findlay Jr.,(Conservative),9,AD 79,2024-11-07_14:08:59.349187
ED    4,99.00%,WRITE-IN,&nbsp,3,AD 79,2024-11-07_14:08:59.349187
ED    5,99.00%,Chantel Jackson,(Democratic),235,AD 79,2024-11-07_14:08:59.349187
ED    5,99.00%,Sharon Darby,(Republican),62,AD 79,2024-11-07_14:08:59.349187
ED    5,99.00%,Emmanuel A. Findlay Jr.,(Conservative),7,AD 79,2024-11-07_14:08:59.349187
ED    5,99.00%,WRITE-IN,&nbsp,0,AD 79,2024-11-07_14:08:59.349187
ED    6,99.00%,Chantel Jackson,(Democratic),215,AD 79,2024-11-07_14:08:59.349187
ED    6,99.00%,Sharon Darby,(Republican),54,AD 79,2024-11-07_14:08:59.349187
ED    6,99.00%,Emmanuel A. Findlay Jr.,(Conservative),8,AD 79,2024-11-07_14:08:59.349187
ED    6,99.00%,WRITE-IN,&nbsp,0,AD 79,2024-11-07_14:08:59.349187
ED    7,99.00%,Chantel Jackson,(Democratic),43,AD 79,2024-11-07_14:08:59.349187
ED    7,99.00%,Sharon Darby,(Republican),10,AD 79,2024-11-07_14:08:59.349187
ED    7,99.00%,Emmanuel A. Findlay Jr.,(Conservative),1,AD 79,2024-11-07_14:08:59.349187
ED    7,99.00%,WRITE-IN,&nbsp,0,AD 79,2024-11-07_14:08:59.349187
ED    8,99.00%,Chantel Jackson,(Democratic),228,AD 79,2024-11-07_14:08:59.349187
ED    8,99.00%,Sharon Darby,(Republican),45,AD 79,2024-11-07_14:08:59.349187
ED    8,99.00%,Emmanuel A. Findlay Jr.,(Conservative),7,AD 79,2024-11-07_14:08:59.349187
