boro,reported,candidate,party,votes,scrape_time
Kings,98.25%,Yvette D. Clarke,(Democratic),160481,2024-11-07_14:17:02.790418
Kings,98.25%,Menachem M. Raitport,(Republican),48503,2024-11-07_14:17:02.790418
Kings,98.25%,Menachem M. Raitport,(Conservative),8111,2024-11-07_14:17:02.790418
Kings,98.25%,WRITE-IN,,2359,2024-11-07_14:17:02.790418
Total,,Yvette D. Clarke,(Democratic),160481,2024-11-07_14:17:02.790418
Total,,Menachem M. Raitport,(Republican),48503,2024-11-07_14:17:02.790418
Total,,Menachem M. Raitport,(Conservative),8111,2024-11-07_14:17:02.790418
Total,,WRITE-IN,,2359,2024-11-07_14:17:02.790418
