AD_num,reported,candidate,party,votes,scrape_time
AD   80,94.74%,Andy King,(Democratic),220,2025-07-02_13:53:32.715719
AD   80,94.74%,Kevin C. Riley,(Democratic),662,2025-07-02_13:53:32.715719
AD   80,94.74%,WRITE-IN,,7,2025-07-02_13:53:32.715719
AD   82,93.10%,Andy King,(Democratic),1355,2025-07-02_13:53:32.715719
AD   82,93.10%,Kevin C. Riley,(Democratic),5172,2025-07-02_13:53:32.715719
AD   82,93.10%,WRITE-IN,,30,2025-07-02_13:53:32.715719
AD   83,95.52%,Andy King,(Democratic),2442,2025-07-02_13:53:32.715719
AD   83,95.52%,Kevin C. Riley,(Democratic),6883,2025-07-02_13:53:32.715719
AD   83,95.52%,WRITE-IN,,70,2025-07-02_13:53:32.715719
Total,,Andy King,(Democratic),4017,2025-07-02_13:53:32.715719
Total,,Kevin C. Riley,(Democratic),12717,2025-07-02_13:53:32.715719
Total,,WRITE-IN,,107,2025-07-02_13:53:32.715719
