boro,reported,candidate,party,votes,scrape_time
Richmond,96.26%,Abou S. Diakhate,(Democratic),1826,2025-07-02_13:53:53.669539
Richmond,96.26%,Telee N. Brown,(Democratic),1026,2025-07-02_13:53:53.669539
Richmond,96.26%,Sarah Blas,(Democratic),1734,2025-07-02_13:53:53.669539
Richmond,96.26%,Kamillah M. Hanks,(Democratic),6706,2025-07-02_13:53:53.669539
Richmond,96.26%,WRITE-IN,,179,2025-07-02_13:53:53.669539
Total,,Abou S. Diakhate,(Democratic),1826,2025-07-02_13:53:53.669539
Total,,Telee N. Brown,(Democratic),1026,2025-07-02_13:53:53.669539
Total,,Sarah Blas,(Democratic),1734,2025-07-02_13:53:53.669539
Total,,Kamillah M. Hanks,(Democratic),6706,2025-07-02_13:53:53.669539
Total,,WRITE-IN,,179,2025-07-02_13:53:53.669539
