boro,reported,candidate,party,votes,scrape_time
New York,92.68%,Vanessa Aronson,(Democratic),6907,2025-07-02_13:53:26.456354
New York,92.68%,Lukas Florczak,(Democratic),447,2025-07-02_13:53:26.456354
New York,92.68%,Benjamin D. Wetzler,(Democratic),4039,2025-07-02_13:53:26.456354
New York,92.68%,Rachel J. Storch,(Democratic),6191,2025-07-02_13:53:26.456354
New York,92.68%,Faith A. Bondy,(Democratic),2141,2025-07-02_13:53:26.456354
New York,92.68%,Virginia Maloney,(Democratic),7270,2025-07-02_13:53:26.456354
New York,92.68%,WRITE-IN,,145,2025-07-02_13:53:26.456354
Total,,Vanessa Aronson,(Democratic),6907,2025-07-02_13:53:26.456354
Total,,Lukas Florczak,(Democratic),447,2025-07-02_13:53:26.456354
Total,,Benjamin D. Wetzler,(Democratic),4039,2025-07-02_13:53:26.456354
Total,,Rachel J. Storch,(Democratic),6191,2025-07-02_13:53:26.456354
Total,,Faith A. Bondy,(Democratic),2141,2025-07-02_13:53:26.456354
Total,,Virginia Maloney,(Democratic),7270,2025-07-02_13:53:26.456354
Total,,WRITE-IN,,145,2025-07-02_13:53:26.456354
