assem_dist,shape_leng,shape_area,geometry,ad_num,Donald J. Trump JD Vance,Kamala D. Harris Tim Walz,total,d_share,r_share,Donald J. Trump / Michael R. Pence,Joseph R. Biden / Kamala D. Harris,total_20,d_share_20,r_share_20,two_party_swing_r,swing_dir,lon,lat
63,202708.954539,530612342.319,"c(-74.1502770852169, 40.6065978101487)",063,29362,20230,49592,40.792869817712536,59.20713018228747,30783,25636,56419,45.43859338166221,54.56140661833779,4.64572356394968,red,-74.15027708521693,40.60659781014874
46,124567.19944,129878416.868,"c(-74.004660035839, 40.5970670511382)",046,22085,17719,39804,44.51562657019395,55.48437342980604,22274,23007,45281,50.809390251982066,49.190609748017934,6.293763681788107,red,-74.00466003583895,40.59706705113821
36,54188.1435055,89848526.6988,"c(-73.9303623943193, 40.7631454317659)",036,10818,32622,43440,75.09668508287292,24.903314917127073,11771,38673,50444,76.66521290936484,23.33478709063516,1.5685278264919127,red,-73.93036239431935,40.763145431765885
68,65251.4112376,77639355.3685,"c(-73.9385122916931, 40.7938404359373)",068,6454,29848,36302,82.22136521403779,17.778634785962204,5130,43717,48847,89.49781972280795,10.502180277192048,7.276454508770156,red,-73.93851229169312,40.79384043593726
27,156872.940369,227255336.4,"c(-73.8284451598328, 40.7588623250001)",027,19661,16521,36182,45.660825824995854,54.339174175004146,17222,26913,44135,60.97881499943356,39.02118500056645,15.317989174437699,red,-73.82844515983282,40.758862325000116
85,101932.5962,102325591.689,"c(-73.8757270569577, 40.8160214941616)",085,6759,21096,27855,75.73505654281098,24.264943457189013,4269,29197,33466,87.24376979621108,12.75623020378892,11.508713253400092,red,-73.87572705695766,40.816021494161596
23,385151.602459,338818928.669,"c(-73.839991983889, 40.6112831938374)",023,25442,18942,44384,42.67754145638068,57.32245854361933,23502,25692,49194,52.225881205025004,47.774118794974996,9.54833974864433,red,-73.83999198388902,40.611283193837416
31,312365.362294,406760439.442,"c(-73.7846598092747, 40.6442356501572)",031,6690,25056,31746,78.92647892647892,21.07352107352107,4928,34957,39885,87.64447787388742,12.355522126112573,8.717998947408498,red,-73.7846598092747,40.64423565015722
29,104702.473404,174451202.478,"c(-73.7575312103082, 40.6861757392097)",029,6265,34842,41107,84.75928673948476,15.240713260515241,3753,46134,49887,92.47699801551506,7.523001984484937,7.717711276030304,red,-73.75753121030817,40.68617573920967
33,82919.1944832,177436877.222,"c(-73.7389909203646, 40.7122177511255)",033,9796,34716,44512,77.99245147375989,22.007548526240114,7092,46888,53980,86.86180066691367,13.138199333086328,8.869349193153786,red,-73.73899092036459,40.71221775112546
