boro,reported,party,scrape_time,proposal_number,YES,NO,percentage,passed
Total,NA,NA,2024-11-13_13:14:54.022667,1,1770259,509275,77.65881096750476,TRUE
Total,NA,NA,2024-11-13_13:15:04.506582,2,1379201,854716,61.73913354882925,TRUE
Total,NA,NA,2024-11-13_13:15:17.292113,3,1215052,966004,55.70934446433288,TRUE
Total,NA,NA,2024-11-13_13:15:26.375558,4,1245062,936608,57.06921761769653,TRUE
Total,NA,NA,2024-11-13_13:15:35.490695,5,1251358,914609,57.77364105731989,TRUE
Total,NA,NA,2024-11-13_13:15:44.626746,6,1025096,1139546,47.35637578869854,FALSE
