boro,reported,candidate,party,votes,scrape_time
New York,97.25%,YES,,262959,2024-11-07_14:10:03.291322
New York,97.25%,NO,,260289,2024-11-07_14:10:03.291322
Bronx,97.60%,YES,,214095,2024-11-07_14:10:03.291322
Bronx,97.60%,NO,,76968,2024-11-07_14:10:03.291322
Kings,97.95%,YES,,324522,2024-11-07_14:10:03.291322
Kings,97.95%,NO,,304867,2024-11-07_14:10:03.291322
Queens,97.65%,YES,,353191,2024-11-07_14:10:03.291322
Queens,97.65%,NO,,214694,2024-11-07_14:10:03.291322
Richmond,97.22%,YES,,90295,2024-11-07_14:10:03.291322
Richmond,97.22%,NO,,79790,2024-11-07_14:10:03.291322
Total,,YES,,1245062,2024-11-07_14:10:03.291322
Total,,NO,,936608,2024-11-07_14:10:03.291322
