boro,reported,candidate,party,votes,scrape_time
New York,99.00%,Ilona B. Coleman,(Democratic),42432,2024-11-07_14:09:07.336179
New York,99.00%,WRITE-IN,,404,2024-11-07_14:09:07.336179
Total,,Ilona B. Coleman,(Democratic),42432,2024-11-07_14:09:07.336179
Total,,WRITE-IN,,404,2024-11-07_14:09:07.336179
