boro,reported,candidate,party,votes,scrape_time
Queens,97.65%,Cassandra A. Johnson,(Democratic),390529,2024-11-13_13:12:33.209424
Queens,97.65%,Stephen H. Weiner,(Republican),204767,2024-11-13_13:12:33.209424
Queens,97.65%,Stephen H. Weiner,(Conservative/Common Sense),19601,2024-11-13_13:12:33.209424
Queens,97.65%,WRITE-IN,,1816,2024-11-13_13:12:33.209424
Total,,Cassandra A. Johnson,(Democratic),390529,2024-11-13_13:12:33.209424
Total,,Stephen H. Weiner,(Republican),204767,2024-11-13_13:12:33.209424
Total,,Stephen H. Weiner,(Conservative/Common Sense),19601,2024-11-13_13:12:33.209424
Total,,WRITE-IN,,1816,2024-11-13_13:12:33.209424
