boro,reported,candidate,party,votes,scrape_time
New York,97.62%,Alice Tam Tien,(Democratic),40592,2024-11-07_14:19:28.12467
New York,97.62%,WRITE-IN,,295,2024-11-07_14:19:28.12467
Total,,Alice Tam Tien,(Democratic),40592,2024-11-07_14:19:28.12467
Total,,WRITE-IN,,295,2024-11-07_14:19:28.12467
