ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Nikki Lucas,(Democratic),410,AD 60,2024-11-13_13:14:27.658879
ED    1,99.00%,WRITE-IN,&nbsp,2,AD 60,2024-11-13_13:14:27.658879
ED    2,99.00%,Nikki Lucas,(Democratic),484,AD 60,2024-11-13_13:14:27.658879
ED    2,99.00%,WRITE-IN,&nbsp,1,AD 60,2024-11-13_13:14:27.658879
ED    3,99.00%,Nikki Lucas,(Democratic),423,AD 60,2024-11-13_13:14:27.658879
ED    3,99.00%,WRITE-IN,&nbsp,3,AD 60,2024-11-13_13:14:27.658879
ED    4,99.00%,Nikki Lucas,(Democratic),609,AD 60,2024-11-13_13:14:27.658879
ED    4,99.00%,WRITE-IN,&nbsp,1,AD 60,2024-11-13_13:14:27.658879
ED    5,99.00%,Nikki Lucas,(Democratic),249,AD 60,2024-11-13_13:14:27.658879
ED    5,99.00%,WRITE-IN,&nbsp,1,AD 60,2024-11-13_13:14:27.658879
ED    6,99.00%,Nikki Lucas,(Democratic),1050,AD 60,2024-11-13_13:14:27.658879
ED    6,99.00%,WRITE-IN,&nbsp,1,AD 60,2024-11-13_13:14:27.658879
ED    7,99.00%,Nikki Lucas,(Democratic),757,AD 60,2024-11-13_13:14:27.658879
ED    7,99.00%,WRITE-IN,&nbsp,5,AD 60,2024-11-13_13:14:27.658879
ED    8,99.00%,Nikki Lucas,(Democratic),426,AD 60,2024-11-13_13:14:27.658879
ED    8,99.00%,WRITE-IN,&nbsp,0,AD 60,2024-11-13_13:14:27.658879
ED    9,99.00%,Nikki Lucas,(Democratic),591,AD 60,2024-11-13_13:14:27.658879
ED    9,99.00%,WRITE-IN,&nbsp,2,AD 60,2024-11-13_13:14:27.658879
ED   10,99.00%,Nikki Lucas,(Democratic),629,AD 60,2024-11-13_13:14:27.658879
ED   10,99.00%,WRITE-IN,&nbsp,0,AD 60,2024-11-13_13:14:27.658879
ED   11,99.00%,Nikki Lucas,(Democratic),266,AD 60,2024-11-13_13:14:27.658879
ED   11,99.00%,WRITE-IN,&nbsp,0,AD 60,2024-11-13_13:14:27.658879
ED   12,99.00%,Nikki Lucas,(Democratic),380,AD 60,2024-11-13_13:14:27.658879
ED   12,99.00%,WRITE-IN,&nbsp,0,AD 60,2024-11-13_13:14:27.658879
ED   13,99.00%,Nikki Lucas,(Democratic),406,AD 60,2024-11-13_13:14:27.658879
ED   13,99.00%,WRITE-IN,&nbsp,0,AD 60,2024-11-13_13:14:27.658879
ED   14,99.00%,Nikki Lucas,(Democratic),700,AD 60,2024-11-13_13:14:27.658879
ED   14,99.00%,WRITE-IN,&nbsp,1,AD 60,2024-11-13_13:14:27.658879
ED   15,99.00%,Nikki Lucas,(Democratic),558,AD 60,2024-11-13_13:14:27.658879
ED   15,99.00%,WRITE-IN,&nbsp,1,AD 60,2024-11-13_13:14:27.658879
ED   16,99.00%,Nikki Lucas,(Democratic),614,AD 60,2024-11-13_13:14:27.658879
ED   16,99.00%,WRITE-IN,&nbsp,2,AD 60,2024-11-13_13:14:27.658879
ED   17,99.00%,Nikki Lucas,(Democratic),549,AD 60,2024-11-13_13:14:27.658879
ED   17,99.00%,WRITE-IN,&nbsp,4,AD 60,2024-11-13_13:14:27.658879
ED   18,99.00%,Nikki Lucas,(Democratic),445,AD 60,2024-11-13_13:14:27.658879
ED   18,99.00%,WRITE-IN,&nbsp,2,AD 60,2024-11-13_13:14:27.658879
ED   19,99.00%,Nikki Lucas,(Democratic),587,AD 60,2024-11-13_13:14:27.658879
ED   19,99.00%,WRITE-IN,&nbsp,3,AD 60,2024-11-13_13:14:27.658879
ED   20,99.00%,Nikki Lucas,(Democratic),297,AD 60,2024-11-13_13:14:27.658879
ED   20,99.00%,WRITE-IN,&nbsp,0,AD 60,2024-11-13_13:14:27.658879
ED   21,99.00%,Nikki Lucas,(Democratic),588,AD 60,2024-11-13_13:14:27.658879
ED   21,99.00%,WRITE-IN,&nbsp,0,AD 60,2024-11-13_13:14:27.658879
ED   22,99.00%,Nikki Lucas,(Democratic),470,AD 60,2024-11-13_13:14:27.658879
ED   22,99.00%,WRITE-IN,&nbsp,0,AD 60,2024-11-13_13:14:27.658879
ED   23,99.00%,Nikki Lucas,(Democratic),550,AD 60,2024-11-13_13:14:27.658879
ED   23,99.00%,WRITE-IN,&nbsp,2,AD 60,2024-11-13_13:14:27.658879
ED   24,99.00%,Nikki Lucas,(Democratic),333,AD 60,2024-11-13_13:14:27.658879
ED   24,99.00%,WRITE-IN,&nbsp,0,AD 60,2024-11-13_13:14:27.658879
ED   25,99.00%,Nikki Lucas,(Democratic),546,AD 60,2024-11-13_13:14:27.658879
ED   25,99.00%,WRITE-IN,&nbsp,1,AD 60,2024-11-13_13:14:27.658879
ED   26,99.00%,Nikki Lucas,(Democratic),494,AD 60,2024-11-13_13:14:27.658879
ED   26,99.00%,WRITE-IN,&nbsp,0,AD 60,2024-11-13_13:14:27.658879
ED   27,99.00%,Nikki Lucas,(Democratic),265,AD 60,2024-11-13_13:14:27.658879
ED   27,99.00%,WRITE-IN,&nbsp,1,AD 60,2024-11-13_13:14:27.658879
ED   28,87.50%,Nikki Lucas,(Democratic),643,AD 60,2024-11-13_13:14:27.658879
ED   28,87.50%,WRITE-IN,&nbsp,1,AD 60,2024-11-13_13:14:27.658879
ED   29,87.50%,Nikki Lucas,(Democratic),550,AD 60,2024-11-13_13:14:27.658879
ED   29,87.50%,WRITE-IN,&nbsp,0,AD 60,2024-11-13_13:14:27.658879
ED   30,87.50%,Nikki Lucas,(Democratic),652,AD 60,2024-11-13_13:14:27.658879
ED   30,87.50%,WRITE-IN,&nbsp,3,AD 60,2024-11-13_13:14:27.658879
ED   31,99.00%,Nikki Lucas,(Democratic),481,AD 60,2024-11-13_13:14:27.658879
ED   31,99.00%,WRITE-IN,&nbsp,5,AD 60,2024-11-13_13:14:27.658879
ED   32,99.00%,Nikki Lucas,(Democratic),332,AD 60,2024-11-13_13:14:27.658879
ED   32,99.00%,WRITE-IN,&nbsp,0,AD 60,2024-11-13_13:14:27.658879
ED   33,99.00%,Nikki Lucas,(Democratic),266,AD 60,2024-11-13_13:14:27.658879
ED   33,99.00%,WRITE-IN,&nbsp,1,AD 60,2024-11-13_13:14:27.658879
ED   34,99.00%,Nikki Lucas,(Democratic),377,AD 60,2024-11-13_13:14:27.658879
ED   34,99.00%,WRITE-IN,&nbsp,0,AD 60,2024-11-13_13:14:27.658879
ED   35,99.00%,Nikki Lucas,(Democratic),545,AD 60,2024-11-13_13:14:27.658879
ED   35,99.00%,WRITE-IN,&nbsp,5,AD 60,2024-11-13_13:14:27.658879
ED   36,99.00%,Nikki Lucas,(Democratic),471,AD 60,2024-11-13_13:14:27.658879
ED   36,99.00%,WRITE-IN,&nbsp,1,AD 60,2024-11-13_13:14:27.658879
ED   37,99.00%,Nikki Lucas,(Democratic),503,AD 60,2024-11-13_13:14:27.658879
ED   37,99.00%,WRITE-IN,&nbsp,0,AD 60,2024-11-13_13:14:27.658879
ED   38,99.00%,Nikki Lucas,(Democratic),471,AD 60,2024-11-13_13:14:27.658879
ED   38,99.00%,WRITE-IN,&nbsp,2,AD 60,2024-11-13_13:14:27.658879
