boro,reported,candidate,party,votes,scrape_time
Queens,96.83%,Ron Kim,(Democratic),11673,2024-11-13_13:14:18.672428
Queens,96.83%,Philip S.C. Wang,(Republican),9503,2024-11-13_13:14:18.672428
Queens,96.83%,Philip S.C. Wang,(Conservative),751,2024-11-13_13:14:18.672428
Queens,96.83%,Ron Kim,(Working Families),909,2024-11-13_13:14:18.672428
Queens,96.83%,WRITE-IN,,60,2024-11-13_13:14:18.672428
Total,,Ron Kim,(Democratic),11673,2024-11-13_13:14:18.672428
Total,,Philip S.C. Wang,(Republican),9503,2024-11-13_13:14:18.672428
Total,,Philip S.C. Wang,(Conservative),751,2024-11-13_13:14:18.672428
Total,,Ron Kim,(Working Families),909,2024-11-13_13:14:18.672428
Total,,WRITE-IN,,60,2024-11-13_13:14:18.672428
