boro,reported,candidate,party,votes,scrape_time
Bronx,97.94%,Alexandria Ocasio-Cortez,(Democratic),61636,2024-11-13_13:13:24.277031
Bronx,97.94%,Tina Forte,(Republican),24045,2024-11-13_13:13:24.277031
Bronx,97.94%,Tina Forte,(Conservative),2454,2024-11-13_13:13:24.277031
Bronx,97.94%,Alexandria Ocasio-Cortez,(Working Families),4373,2024-11-13_13:13:24.277031
Bronx,97.94%,WRITE-IN,,234,2024-11-13_13:13:24.277031
Queens,96.98%,Alexandria Ocasio-Cortez,(Democratic),48354,2024-11-13_13:13:24.277031
Queens,96.98%,Tina Forte,(Republican),26928,2024-11-13_13:13:24.277031
Queens,96.98%,Tina Forte,(Conservative),2153,2024-11-13_13:13:24.277031
Queens,96.98%,Alexandria Ocasio-Cortez,(Working Families),8906,2024-11-13_13:13:24.277031
Queens,96.98%,WRITE-IN,,440,2024-11-13_13:13:24.277031
Total,,Alexandria Ocasio-Cortez,(Democratic),109990,2024-11-13_13:13:24.277031
Total,,Tina Forte,(Republican),50973,2024-11-13_13:13:24.277031
Total,,Tina Forte,(Conservative),4607,2024-11-13_13:13:24.277031
Total,,Alexandria Ocasio-Cortez,(Working Families),13279,2024-11-13_13:13:24.277031
Total,,WRITE-IN,,674,2024-11-13_13:13:24.277031
