boro,reported,candidate,party,votes,scrape_time
New York,97.25%,Cynthia Sharon Kern,(Democratic),445573,2024-11-07_14:16:21.602404
New York,97.25%,Gerald Lebovits,(Democratic),362946,2024-11-07_14:16:21.602404
New York,97.25%,WRITE-IN,,7710,2024-11-07_14:16:21.602404
Total,,Cynthia Sharon Kern,(Democratic),445573,2024-11-07_14:16:21.602404
Total,,Gerald Lebovits,(Democratic),362946,2024-11-07_14:16:21.602404
Total,,WRITE-IN,,7710,2024-11-07_14:16:21.602404
