boro,reported,candidate,party,votes,scrape_time
Kings,96.67%,Robert C. Carroll,(Democratic),33856,2024-11-13_13:14:20.365429
Kings,96.67%,John L. Bennett,(Republican),6384,2024-11-13_13:14:20.365429
Kings,96.67%,John L. Bennett,(Conservative),1062,2024-11-13_13:14:20.365429
Kings,96.67%,Robert C. Carroll,(Working Families),8890,2024-11-13_13:14:20.365429
Kings,96.67%,WRITE-IN,,264,2024-11-13_13:14:20.365429
Total,,Robert C. Carroll,(Democratic),33856,2024-11-13_13:14:20.365429
Total,,John L. Bennett,(Republican),6384,2024-11-13_13:14:20.365429
Total,,John L. Bennett,(Conservative),1062,2024-11-13_13:14:20.365429
Total,,Robert C. Carroll,(Working Families),8890,2024-11-13_13:14:20.365429
Total,,WRITE-IN,,264,2024-11-13_13:14:20.365429
