boro,reported,candidate,party,votes,scrape_time
Kings,95.24%,Andrea S. Morse,(Democratic),26069,2024-11-13_13:13:19.069212
Kings,95.24%,Nicole Malliotakis,(Republican),29918,2024-11-13_13:13:19.069212
Kings,95.24%,Nicole Malliotakis,(Conservative),4096,2024-11-13_13:13:19.069212
Kings,95.24%,WRITE-IN,,293,2024-11-13_13:13:19.069212
Richmond,97.22%,Andrea S. Morse,(Democratic),61571,2024-11-13_13:13:19.069212
Richmond,97.22%,Nicole Malliotakis,(Republican),117586,2024-11-13_13:13:19.069212
Richmond,97.22%,Nicole Malliotakis,(Conservative),9308,2024-11-13_13:13:19.069212
Richmond,97.22%,WRITE-IN,,675,2024-11-13_13:13:19.069212
Total,,Andrea S. Morse,(Democratic),87640,2024-11-13_13:13:19.069212
Total,,Nicole Malliotakis,(Republican),147504,2024-11-13_13:13:19.069212
Total,,Nicole Malliotakis,(Conservative),13404,2024-11-13_13:13:19.069212
Total,,WRITE-IN,,968,2024-11-13_13:13:19.069212
