ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   20,99.00%,WRITE-IN,&nbsp,0,AD 23,2025-07-02_13:54:23.267186
ED   21,99.00%,Peter Kefalas,(Republican),1,AD 23,2025-07-02_13:54:23.267186
ED   21,99.00%,Danniel Maio,(Republican),1,AD 23,2025-07-02_13:54:23.267186
ED   21,99.00%,WRITE-IN,&nbsp,4,AD 23,2025-07-02_13:54:23.267186
ED   22,99.00%,Peter Kefalas,(Republican),0,AD 23,2025-07-02_13:54:23.267186
ED   22,99.00%,Danniel Maio,(Republican),0,AD 23,2025-07-02_13:54:23.267186
ED   22,99.00%,WRITE-IN,&nbsp,0,AD 23,2025-07-02_13:54:23.267186
ED   23,99.00%,Peter Kefalas,(Republican),6,AD 23,2025-07-02_13:54:23.267186
ED   23,99.00%,Danniel Maio,(Republican),5,AD 23,2025-07-02_13:54:23.267186
ED   23,99.00%,WRITE-IN,&nbsp,0,AD 23,2025-07-02_13:54:23.267186
ED   24,99.00%,Peter Kefalas,(Republican),1,AD 23,2025-07-02_13:54:23.267186
ED   24,99.00%,Danniel Maio,(Republican),0,AD 23,2025-07-02_13:54:23.267186
ED   24,99.00%,WRITE-IN,&nbsp,0,AD 23,2025-07-02_13:54:23.267186
ED   25,99.00%,Peter Kefalas,(Republican),13,AD 23,2025-07-02_13:54:23.267186
ED   25,99.00%,Danniel Maio,(Republican),3,AD 23,2025-07-02_13:54:23.267186
ED   25,99.00%,WRITE-IN,&nbsp,2,AD 23,2025-07-02_13:54:23.267186
ED   26,99.00%,Peter Kefalas,(Republican),1,AD 23,2025-07-02_13:54:23.267186
ED   26,99.00%,Danniel Maio,(Republican),2,AD 23,2025-07-02_13:54:23.267186
ED   26,99.00%,WRITE-IN,&nbsp,3,AD 23,2025-07-02_13:54:23.267186
ED   27,99.00%,Peter Kefalas,(Republican),9,AD 23,2025-07-02_13:54:23.267186
ED   27,99.00%,Danniel Maio,(Republican),1,AD 23,2025-07-02_13:54:23.267186
ED   27,99.00%,WRITE-IN,&nbsp,1,AD 23,2025-07-02_13:54:23.267186
ED   28,99.00%,Peter Kefalas,(Republican),3,AD 23,2025-07-02_13:54:23.267186
ED   28,99.00%,Danniel Maio,(Republican),1,AD 23,2025-07-02_13:54:23.267186
ED   28,99.00%,WRITE-IN,&nbsp,0,AD 23,2025-07-02_13:54:23.267186
ED   29,99.00%,Peter Kefalas,(Republican),9,AD 23,2025-07-02_13:54:23.267186
ED   29,99.00%,Danniel Maio,(Republican),5,AD 23,2025-07-02_13:54:23.267186
ED   29,99.00%,WRITE-IN,&nbsp,0,AD 23,2025-07-02_13:54:23.267186
ED   30,99.00%,Peter Kefalas,(Republican),5,AD 23,2025-07-02_13:54:23.267186
ED   30,99.00%,Danniel Maio,(Republican),3,AD 23,2025-07-02_13:54:23.267186
ED   30,99.00%,WRITE-IN,&nbsp,2,AD 23,2025-07-02_13:54:23.267186
ED   31,99.00%,Peter Kefalas,(Republican),8,AD 23,2025-07-02_13:54:23.267186
ED   31,99.00%,Danniel Maio,(Republican),3,AD 23,2025-07-02_13:54:23.267186
ED   31,99.00%,WRITE-IN,&nbsp,1,AD 23,2025-07-02_13:54:23.267186
ED   32,99.00%,Peter Kefalas,(Republican),11,AD 23,2025-07-02_13:54:23.267186
ED   32,99.00%,Danniel Maio,(Republican),5,AD 23,2025-07-02_13:54:23.267186
ED   32,99.00%,WRITE-IN,&nbsp,3,AD 23,2025-07-02_13:54:23.267186
ED   33,99.00%,Peter Kefalas,(Republican),19,AD 23,2025-07-02_13:54:23.267186
ED   33,99.00%,Danniel Maio,(Republican),5,AD 23,2025-07-02_13:54:23.267186
ED   33,99.00%,WRITE-IN,&nbsp,1,AD 23,2025-07-02_13:54:23.267186
ED   34,99.00%,Peter Kefalas,(Republican),13,AD 23,2025-07-02_13:54:23.267186
ED   34,99.00%,Danniel Maio,(Republican),5,AD 23,2025-07-02_13:54:23.267186
ED   34,99.00%,WRITE-IN,&nbsp,0,AD 23,2025-07-02_13:54:23.267186
ED   35,99.00%,Peter Kefalas,(Republican),9,AD 23,2025-07-02_13:54:23.267186
ED   35,99.00%,Danniel Maio,(Republican),5,AD 23,2025-07-02_13:54:23.267186
ED   35,99.00%,WRITE-IN,&nbsp,0,AD 23,2025-07-02_13:54:23.267186
ED   36,99.00%,Peter Kefalas,(Republican),8,AD 23,2025-07-02_13:54:23.267186
ED   36,99.00%,Danniel Maio,(Republican),5,AD 23,2025-07-02_13:54:23.267186
ED   36,99.00%,WRITE-IN,&nbsp,0,AD 23,2025-07-02_13:54:23.267186
ED   37,99.00%,Peter Kefalas,(Republican),3,AD 23,2025-07-02_13:54:23.267186
