boro,reported,candidate,party,votes,scrape_time
Bronx,97.83%,Luis R. Sepulveda,(Democratic),42532,2024-11-13_13:14:03.937426
Bronx,97.83%,Bernadette E. Stroud,(Republican),9973,2024-11-13_13:14:03.937426
Bronx,97.83%,Bernadette E. Stroud,(Conservative),1136,2024-11-13_13:14:03.937426
Bronx,97.83%,WRITE-IN,,113,2024-11-13_13:14:03.937426
Total,,Luis R. Sepulveda,(Democratic),42532,2024-11-13_13:14:03.937426
Total,,Bernadette E. Stroud,(Republican),9973,2024-11-13_13:14:03.937426
Total,,Bernadette E. Stroud,(Conservative),1136,2024-11-13_13:14:03.937426
Total,,WRITE-IN,,113,2024-11-13_13:14:03.937426
