boro,reported,candidate,party,votes,scrape_time
Richmond,99.00%,Matthew Mobilia,(Democratic),20533,2024-11-13_13:14:29.102939
Richmond,99.00%,Sam T. Pirozzolo,(Republican),26068,2024-11-13_13:14:29.102939
Richmond,99.00%,Sam T. Pirozzolo,(Conservative),2231,2024-11-13_13:14:29.102939
Richmond,99.00%,WRITE-IN,,233,2024-11-13_13:14:29.102939
Total,,Matthew Mobilia,(Democratic),20533,2024-11-13_13:14:29.102939
Total,,Sam T. Pirozzolo,(Republican),26068,2024-11-13_13:14:29.102939
Total,,Sam T. Pirozzolo,(Conservative),2231,2024-11-13_13:14:29.102939
Total,,WRITE-IN,,233,2024-11-13_13:14:29.102939
