boro,reported,candidate,party,votes,scrape_time
New York,99.00%,Andrew S. Gounardes,(Democratic),-,2024-11-07_14:08:07.225138
New York,99.00%,Vito J. LaBella,(Republican),-,2024-11-07_14:08:07.225138
New York,99.00%,Vito J. LaBella,(Conservative),-,2024-11-07_14:08:07.225138
New York,99.00%,Andrew S. Gounardes,(Working Families),-,2024-11-07_14:08:07.225138
New York,99.00%,WRITE-IN,,-,2024-11-07_14:08:07.225138
Kings,96.89%,Andrew S. Gounardes,(Democratic),71573,2024-11-07_14:08:07.225138
Kings,96.89%,Vito J. LaBella,(Republican),19826,2024-11-07_14:08:07.225138
Kings,96.89%,Vito J. LaBella,(Conservative),2921,2024-11-07_14:08:07.225138
Kings,96.89%,Andrew S. Gounardes,(Working Families),12344,2024-11-07_14:08:07.225138
Kings,96.89%,WRITE-IN,,316,2024-11-07_14:08:07.225138
Total,,Andrew S. Gounardes,(Democratic),71573,2024-11-07_14:08:07.225138
Total,,Vito J. LaBella,(Republican),19826,2024-11-07_14:08:07.225138
Total,,Vito J. LaBella,(Conservative),2921,2024-11-07_14:08:07.225138
Total,,Andrew S. Gounardes,(Working Families),12344,2024-11-07_14:08:07.225138
Total,,WRITE-IN,,316,2024-11-07_14:08:07.225138
