boro,reported,candidate,party,votes,scrape_time
Bronx,97.14%,John Perez,(Democratic),1389,2025-07-02_13:53:33.528118
Bronx,97.14%,Shirley Aldebol,(Democratic),3125,2025-07-02_13:53:33.528118
Bronx,97.14%,Jacqueline J. Torres,(Democratic),2170,2025-07-02_13:53:33.528118
Bronx,97.14%,David A. Diaz,(Democratic),1956,2025-07-02_13:53:33.528118
Bronx,97.14%,Joel Rivera,(Democratic),1094,2025-07-02_13:53:33.528118
Bronx,97.14%,Theona S. Reets-Dupont,(Democratic),634,2025-07-02_13:53:33.528118
Bronx,97.14%,WRITE-IN,,82,2025-07-02_13:53:33.528118
Total,,John Perez,(Democratic),1389,2025-07-02_13:53:33.528118
Total,,Shirley Aldebol,(Democratic),3125,2025-07-02_13:53:33.528118
Total,,Jacqueline J. Torres,(Democratic),2170,2025-07-02_13:53:33.528118
Total,,David A. Diaz,(Democratic),1956,2025-07-02_13:53:33.528118
Total,,Joel Rivera,(Democratic),1094,2025-07-02_13:53:33.528118
Total,,Theona S. Reets-Dupont,(Democratic),634,2025-07-02_13:53:33.528118
Total,,WRITE-IN,,82,2025-07-02_13:53:33.528118
