boro,reported,candidate,party,votes,scrape_time
New York,97.25%,YES,,473030,2024-11-07_14:19:50.669195
New York,97.25%,NO,,77843,2024-11-07_14:19:50.669195
Bronx,97.60%,YES,,249639,2024-11-07_14:19:50.669195
Bronx,97.60%,NO,,50731,2024-11-07_14:19:50.669195
Kings,97.95%,YES,,523390,2024-11-07_14:19:50.669195
Kings,97.95%,NO,,141885,2024-11-07_14:19:50.669195
Queens,97.65%,YES,,435697,2024-11-07_14:19:50.669195
Queens,97.65%,NO,,150663,2024-11-07_14:19:50.669195
Richmond,97.22%,YES,,88503,2024-11-07_14:19:50.669195
Richmond,97.22%,NO,,88153,2024-11-07_14:19:50.669195
Total,,YES,,1770259,2024-11-07_14:19:50.669195
Total,,NO,,509275,2024-11-07_14:19:50.669195
