boro,reported,candidate,party,votes,scrape_time
New York,97.25%,YES,,223063,2024-11-13_13:15:44.626746
New York,97.25%,NO,,297175,2024-11-13_13:15:44.626746
Bronx,97.60%,YES,,186645,2024-11-13_13:15:44.626746
Bronx,97.60%,NO,,101184,2024-11-13_13:15:44.626746
Kings,97.95%,YES,,272241,2024-11-13_13:15:44.626746
Kings,97.95%,NO,,353784,2024-11-13_13:15:44.626746
Queens,97.65%,YES,,284460,2024-11-13_13:15:44.626746
Queens,97.65%,NO,,277016,2024-11-13_13:15:44.626746
Richmond,97.22%,YES,,58687,2024-11-13_13:15:44.626746
Richmond,97.22%,NO,,110387,2024-11-13_13:15:44.626746
Total,,YES,,1025096,2024-11-13_13:15:44.626746
Total,,NO,,1139546,2024-11-13_13:15:44.626746
