boro,reported,candidate,party,votes,scrape_time
Kings,98.31%,Lincoln Restler,(Democratic),23938,2025-07-02_13:53:44.144853
Kings,98.31%,Sabrina N. Gates,(Democratic),7685,2025-07-02_13:53:44.144853
Kings,98.31%,WRITE-IN,,161,2025-07-02_13:53:44.144853
Total,,Lincoln Restler,(Democratic),23938,2025-07-02_13:53:44.144853
Total,,Sabrina N. Gates,(Democratic),7685,2025-07-02_13:53:44.144853
Total,,WRITE-IN,,161,2025-07-02_13:53:44.144853
