ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED    1,99.00%,Chris McCreight,(Democratic),330,AD 46,2024-11-07_14:08:39.435873
ED    1,99.00%,Alec Brook-Krasny,(Republican),211,AD 46,2024-11-07_14:08:39.435873
ED    1,99.00%,Alec Brook-Krasny,(Conservative),39,AD 46,2024-11-07_14:08:39.435873
ED    1,99.00%,WRITE-IN,&nbsp,2,AD 46,2024-11-07_14:08:39.435873
ED    2,88.89%,Chris McCreight,(Democratic),383,AD 46,2024-11-07_14:08:39.435873
ED    2,88.89%,Alec Brook-Krasny,(Republican),169,AD 46,2024-11-07_14:08:39.435873
ED    2,88.89%,Alec Brook-Krasny,(Conservative),20,AD 46,2024-11-07_14:08:39.435873
ED    2,88.89%,WRITE-IN,&nbsp,2,AD 46,2024-11-07_14:08:39.435873
ED    3,99.00%,Chris McCreight,(Democratic),509,AD 46,2024-11-07_14:08:39.435873
ED    3,99.00%,Alec Brook-Krasny,(Republican),173,AD 46,2024-11-07_14:08:39.435873
ED    3,99.00%,Alec Brook-Krasny,(Conservative),31,AD 46,2024-11-07_14:08:39.435873
ED    3,99.00%,WRITE-IN,&nbsp,4,AD 46,2024-11-07_14:08:39.435873
ED    4,99.00%,Chris McCreight,(Democratic),466,AD 46,2024-11-07_14:08:39.435873
ED    4,99.00%,Alec Brook-Krasny,(Republican),187,AD 46,2024-11-07_14:08:39.435873
ED    4,99.00%,Alec Brook-Krasny,(Conservative),34,AD 46,2024-11-07_14:08:39.435873
ED    4,99.00%,WRITE-IN,&nbsp,0,AD 46,2024-11-07_14:08:39.435873
ED    5,99.00%,Chris McCreight,(Democratic),458,AD 46,2024-11-07_14:08:39.435873
ED    5,99.00%,Alec Brook-Krasny,(Republican),266,AD 46,2024-11-07_14:08:39.435873
ED    5,99.00%,Alec Brook-Krasny,(Conservative),51,AD 46,2024-11-07_14:08:39.435873
ED    5,99.00%,WRITE-IN,&nbsp,1,AD 46,2024-11-07_14:08:39.435873
ED    6,99.00%,Chris McCreight,(Democratic),394,AD 46,2024-11-07_14:08:39.435873
ED    6,99.00%,Alec Brook-Krasny,(Republican),379,AD 46,2024-11-07_14:08:39.435873
ED    6,99.00%,Alec Brook-Krasny,(Conservative),46,AD 46,2024-11-07_14:08:39.435873
ED    6,99.00%,WRITE-IN,&nbsp,2,AD 46,2024-11-07_14:08:39.435873
ED    7,99.00%,Chris McCreight,(Democratic),418,AD 46,2024-11-07_14:08:39.435873
ED    7,99.00%,Alec Brook-Krasny,(Republican),301,AD 46,2024-11-07_14:08:39.435873
ED    7,99.00%,Alec Brook-Krasny,(Conservative),40,AD 46,2024-11-07_14:08:39.435873
ED    7,99.00%,WRITE-IN,&nbsp,3,AD 46,2024-11-07_14:08:39.435873
ED    8,99.00%,Chris McCreight,(Democratic),375,AD 46,2024-11-07_14:08:39.435873
ED    8,99.00%,Alec Brook-Krasny,(Republican),215,AD 46,2024-11-07_14:08:39.435873
ED    8,99.00%,Alec Brook-Krasny,(Conservative),31,AD 46,2024-11-07_14:08:39.435873
ED    8,99.00%,WRITE-IN,&nbsp,1,AD 46,2024-11-07_14:08:39.435873
ED    9,37.50%,Chris McCreight,(Democratic),292,AD 46,2024-11-07_14:08:39.435873
ED    9,37.50%,Alec Brook-Krasny,(Republican),120,AD 46,2024-11-07_14:08:39.435873
ED    9,37.50%,Alec Brook-Krasny,(Conservative),18,AD 46,2024-11-07_14:08:39.435873
ED    9,37.50%,WRITE-IN,&nbsp,1,AD 46,2024-11-07_14:08:39.435873
ED   10,99.00%,Chris McCreight,(Democratic),521,AD 46,2024-11-07_14:08:39.435873
ED   10,99.00%,Alec Brook-Krasny,(Republican),234,AD 46,2024-11-07_14:08:39.435873
ED   10,99.00%,Alec Brook-Krasny,(Conservative),40,AD 46,2024-11-07_14:08:39.435873
ED   10,99.00%,WRITE-IN,&nbsp,9,AD 46,2024-11-07_14:08:39.435873
ED   11,37.50%,Chris McCreight,(Democratic),127,AD 46,2024-11-07_14:08:39.435873
ED   11,37.50%,Alec Brook-Krasny,(Republican),72,AD 46,2024-11-07_14:08:39.435873
ED   11,37.50%,Alec Brook-Krasny,(Conservative),6,AD 46,2024-11-07_14:08:39.435873
ED   11,37.50%,WRITE-IN,&nbsp,1,AD 46,2024-11-07_14:08:39.435873
ED   12,99.00%,Chris McCreight,(Democratic),555,AD 46,2024-11-07_14:08:39.435873
ED   12,99.00%,Alec Brook-Krasny,(Republican),353,AD 46,2024-11-07_14:08:39.435873
ED   12,99.00%,Alec Brook-Krasny,(Conservative),50,AD 46,2024-11-07_14:08:39.435873
ED   12,99.00%,WRITE-IN,&nbsp,2,AD 46,2024-11-07_14:08:39.435873
ED   13,99.00%,Chris McCreight,(Democratic),530,AD 46,2024-11-07_14:08:39.435873
ED   13,99.00%,Alec Brook-Krasny,(Republican),328,AD 46,2024-11-07_14:08:39.435873
ED   13,99.00%,Alec Brook-Krasny,(Conservative),49,AD 46,2024-11-07_14:08:39.435873
ED   13,99.00%,WRITE-IN,&nbsp,1,AD 46,2024-11-07_14:08:39.435873
ED   14,99.00%,Chris McCreight,(Democratic),530,AD 46,2024-11-07_14:08:39.435873
ED   14,99.00%,Alec Brook-Krasny,(Republican),320,AD 46,2024-11-07_14:08:39.435873
ED   14,99.00%,Alec Brook-Krasny,(Conservative),41,AD 46,2024-11-07_14:08:39.435873
ED   14,99.00%,WRITE-IN,&nbsp,6,AD 46,2024-11-07_14:08:39.435873
ED   15,37.50%,Chris McCreight,(Democratic),195,AD 46,2024-11-07_14:08:39.435873
ED   15,37.50%,Alec Brook-Krasny,(Republican),149,AD 46,2024-11-07_14:08:39.435873
ED   15,37.50%,Alec Brook-Krasny,(Conservative),12,AD 46,2024-11-07_14:08:39.435873
ED   15,37.50%,WRITE-IN,&nbsp,0,AD 46,2024-11-07_14:08:39.435873
ED   16,99.00%,Chris McCreight,(Democratic),488,AD 46,2024-11-07_14:08:39.435873
ED   16,99.00%,Alec Brook-Krasny,(Republican),223,AD 46,2024-11-07_14:08:39.435873
ED   16,99.00%,Alec Brook-Krasny,(Conservative),41,AD 46,2024-11-07_14:08:39.435873
ED   16,99.00%,WRITE-IN,&nbsp,6,AD 46,2024-11-07_14:08:39.435873
ED   17,37.50%,Chris McCreight,(Democratic),187,AD 46,2024-11-07_14:08:39.435873
ED   17,37.50%,Alec Brook-Krasny,(Republican),84,AD 46,2024-11-07_14:08:39.435873
ED   17,37.50%,Alec Brook-Krasny,(Conservative),16,AD 46,2024-11-07_14:08:39.435873
ED   17,37.50%,WRITE-IN,&nbsp,2,AD 46,2024-11-07_14:08:39.435873
ED   18,37.50%,Chris McCreight,(Democratic),209,AD 46,2024-11-07_14:08:39.435873
ED   18,37.50%,Alec Brook-Krasny,(Republican),112,AD 46,2024-11-07_14:08:39.435873
ED   18,37.50%,Alec Brook-Krasny,(Conservative),20,AD 46,2024-11-07_14:08:39.435873
ED   18,37.50%,WRITE-IN,&nbsp,1,AD 46,2024-11-07_14:08:39.435873
ED   19,99.00%,Chris McCreight,(Democratic),463,AD 46,2024-11-07_14:08:39.435873
ED   19,99.00%,Alec Brook-Krasny,(Republican),347,AD 46,2024-11-07_14:08:39.435873
ED   19,99.00%,Alec Brook-Krasny,(Conservative),48,AD 46,2024-11-07_14:08:39.435873
ED   19,99.00%,WRITE-IN,&nbsp,1,AD 46,2024-11-07_14:08:39.435873
ED   20,99.00%,Chris McCreight,(Democratic),527,AD 46,2024-11-07_14:08:39.435873
ED   20,99.00%,Alec Brook-Krasny,(Republican),344,AD 46,2024-11-07_14:08:39.435873
ED   20,99.00%,Alec Brook-Krasny,(Conservative),57,AD 46,2024-11-07_14:08:39.435873
ED   20,99.00%,WRITE-IN,&nbsp,3,AD 46,2024-11-07_14:08:39.435873
ED   21,99.00%,Chris McCreight,(Democratic),95,AD 46,2024-11-07_14:08:39.435873
ED   21,99.00%,Alec Brook-Krasny,(Republican),48,AD 46,2024-11-07_14:08:39.435873
ED   21,99.00%,Alec Brook-Krasny,(Conservative),12,AD 46,2024-11-07_14:08:39.435873
ED   21,99.00%,WRITE-IN,&nbsp,1,AD 46,2024-11-07_14:08:39.435873
ED   22,99.00%,Chris McCreight,(Democratic),377,AD 46,2024-11-07_14:08:39.435873
ED   22,99.00%,Alec Brook-Krasny,(Republican),282,AD 46,2024-11-07_14:08:39.435873
ED   22,99.00%,Alec Brook-Krasny,(Conservative),46,AD 46,2024-11-07_14:08:39.435873
ED   22,99.00%,WRITE-IN,&nbsp,6,AD 46,2024-11-07_14:08:39.435873
ED   23,99.00%,Chris McCreight,(Democratic),228,AD 46,2024-11-07_14:08:39.435873
ED   23,99.00%,Alec Brook-Krasny,(Republican),409,AD 46,2024-11-07_14:08:39.435873
ED   23,99.00%,Alec Brook-Krasny,(Conservative),48,AD 46,2024-11-07_14:08:39.435873
ED   23,99.00%,WRITE-IN,&nbsp,2,AD 46,2024-11-07_14:08:39.435873
ED   24,99.00%,Chris McCreight,(Democratic),133,AD 46,2024-11-07_14:08:39.435873
