boro,reported,candidate,party,votes,scrape_time
New York,97.05%,Jerrold L. Nadler,(Democratic),220188,2024-11-07_14:17:10.066124
New York,97.05%,Michael K. Zumbluskas,(Republican),57403,2024-11-07_14:17:10.066124
New York,97.05%,Jerrold L. Nadler,(Working Families),15668,2024-11-07_14:17:10.066124
New York,97.05%,WRITE-IN,,762,2024-11-07_14:17:10.066124
Total,,Jerrold L. Nadler,(Democratic),220188,2024-11-07_14:17:10.066124
Total,,Michael K. Zumbluskas,(Republican),57403,2024-11-07_14:17:10.066124
Total,,Jerrold L. Nadler,(Working Families),15668,2024-11-07_14:17:10.066124
Total,,WRITE-IN,,762,2024-11-07_14:17:10.066124
