ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   35,99.00%,WRITE-IN,&nbsp,1,AD 45,2024-11-07_14:08:02.315653
ED   39,99.00%,Jessica Scarcella-Spanton,(Democratic),20,AD 45,2024-11-07_14:08:02.315653
ED   39,99.00%,Marko Kepi,(Republican),43,AD 45,2024-11-07_14:08:02.315653
ED   39,99.00%,WRITE-IN,&nbsp,2,AD 45,2024-11-07_14:08:02.315653
ED   40,99.00%,Jessica Scarcella-Spanton,(Democratic),210,AD 45,2024-11-07_14:08:02.315653
ED   40,99.00%,Marko Kepi,(Republican),375,AD 45,2024-11-07_14:08:02.315653
ED   40,99.00%,WRITE-IN,&nbsp,0,AD 45,2024-11-07_14:08:02.315653
ED   41,99.00%,Jessica Scarcella-Spanton,(Democratic),309,AD 45,2024-11-07_14:08:02.315653
ED   41,99.00%,Marko Kepi,(Republican),497,AD 45,2024-11-07_14:08:02.315653
ED   41,99.00%,WRITE-IN,&nbsp,9,AD 45,2024-11-07_14:08:02.315653
ED   42,99.00%,Jessica Scarcella-Spanton,(Democratic),254,AD 45,2024-11-07_14:08:02.315653
ED   42,99.00%,Marko Kepi,(Republican),344,AD 45,2024-11-07_14:08:02.315653
ED   42,99.00%,WRITE-IN,&nbsp,2,AD 45,2024-11-07_14:08:02.315653
ED   43,99.00%,Jessica Scarcella-Spanton,(Democratic),238,AD 45,2024-11-07_14:08:02.315653
ED   43,99.00%,Marko Kepi,(Republican),422,AD 45,2024-11-07_14:08:02.315653
ED   43,99.00%,WRITE-IN,&nbsp,1,AD 45,2024-11-07_14:08:02.315653
ED   45,99.00%,Jessica Scarcella-Spanton,(Democratic),235,AD 45,2024-11-07_14:08:02.315653
ED   45,99.00%,Marko Kepi,(Republican),489,AD 45,2024-11-07_14:08:02.315653
ED   45,99.00%,WRITE-IN,&nbsp,1,AD 45,2024-11-07_14:08:02.315653
ED   46,99.00%,Jessica Scarcella-Spanton,(Democratic),234,AD 45,2024-11-07_14:08:02.315653
ED   46,99.00%,Marko Kepi,(Republican),247,AD 45,2024-11-07_14:08:02.315653
ED   46,99.00%,WRITE-IN,&nbsp,8,AD 45,2024-11-07_14:08:02.315653
ED   47,85.71%,Jessica Scarcella-Spanton,(Democratic),231,AD 45,2024-11-07_14:08:02.315653
ED   47,85.71%,Marko Kepi,(Republican),401,AD 45,2024-11-07_14:08:02.315653
ED   47,85.71%,WRITE-IN,&nbsp,2,AD 45,2024-11-07_14:08:02.315653
ED   48,99.00%,Jessica Scarcella-Spanton,(Democratic),196,AD 45,2024-11-07_14:08:02.315653
ED   48,99.00%,Marko Kepi,(Republican),327,AD 45,2024-11-07_14:08:02.315653
ED   48,99.00%,WRITE-IN,&nbsp,1,AD 45,2024-11-07_14:08:02.315653
ED   49,99.00%,Jessica Scarcella-Spanton,(Democratic),108,AD 45,2024-11-07_14:08:02.315653
ED   49,99.00%,Marko Kepi,(Republican),672,AD 45,2024-11-07_14:08:02.315653
ED   49,99.00%,WRITE-IN,&nbsp,1,AD 45,2024-11-07_14:08:02.315653
ED   50,99.00%,Jessica Scarcella-Spanton,(Democratic),165,AD 45,2024-11-07_14:08:02.315653
