boro,reported,candidate,party,votes,scrape_time
Kings,99.00%,Jessica Scarcella-Spanton,(Democratic),13952,2024-11-13_13:13:49.991385
Kings,99.00%,Marko Kepi,(Republican),18819,2024-11-13_13:13:49.991385
Kings,99.00%,WRITE-IN,,124,2024-11-13_13:13:49.991385
Richmond,95.49%,Jessica Scarcella-Spanton,(Democratic),31384,2024-11-13_13:13:49.991385
Richmond,95.49%,Marko Kepi,(Republican),18367,2024-11-13_13:13:49.991385
Richmond,95.49%,WRITE-IN,,251,2024-11-13_13:13:49.991385
Total,,Jessica Scarcella-Spanton,(Democratic),45336,2024-11-13_13:13:49.991385
Total,,Marko Kepi,(Republican),37186,2024-11-13_13:13:49.991385
Total,,WRITE-IN,,375,2024-11-13_13:13:49.991385
