AD_num,reported,candidate,party,votes,scrape_time
AD   41,99.00%,Jessica Scarcella-Spanton,(Democratic),2220,2024-11-13_13:13:49.991385
AD   41,99.00%,Marko Kepi,(Republican),2776,2024-11-13_13:13:49.991385
AD   41,99.00%,WRITE-IN,,24,2024-11-13_13:13:49.991385
AD   45,97.67%,Jessica Scarcella-Spanton,(Democratic),3605,2024-11-13_13:13:49.991385
AD   45,97.67%,Marko Kepi,(Republican),6487,2024-11-13_13:13:49.991385
AD   45,97.67%,WRITE-IN,,40,2024-11-13_13:13:49.991385
AD   46,99.00%,Jessica Scarcella-Spanton,(Democratic),7757,2024-11-13_13:13:49.991385
AD   46,99.00%,Marko Kepi,(Republican),9478,2024-11-13_13:13:49.991385
AD   46,99.00%,WRITE-IN,,54,2024-11-13_13:13:49.991385
AD   47,99.00%,Jessica Scarcella-Spanton,(Democratic),370,2024-11-13_13:13:49.991385
AD   47,99.00%,Marko Kepi,(Republican),78,2024-11-13_13:13:49.991385
AD   47,99.00%,WRITE-IN,,6,2024-11-13_13:13:49.991385
AD   61,93.33%,Jessica Scarcella-Spanton,(Democratic),18523,2024-11-13_13:13:49.991385
AD   61,93.33%,Marko Kepi,(Republican),6285,2024-11-13_13:13:49.991385
AD   61,93.33%,WRITE-IN,,101,2024-11-13_13:13:49.991385
AD   63,99.00%,Jessica Scarcella-Spanton,(Democratic),8268,2024-11-13_13:13:49.991385
AD   63,99.00%,Marko Kepi,(Republican),4807,2024-11-13_13:13:49.991385
AD   63,99.00%,WRITE-IN,,68,2024-11-13_13:13:49.991385
AD   64,97.83%,Jessica Scarcella-Spanton,(Democratic),4593,2024-11-13_13:13:49.991385
AD   64,97.83%,Marko Kepi,(Republican),7275,2024-11-13_13:13:49.991385
AD   64,97.83%,WRITE-IN,,82,2024-11-13_13:13:49.991385
Total,,Jessica Scarcella-Spanton,(Democratic),45336,2024-11-13_13:13:49.991385
Total,,Marko Kepi,(Republican),37186,2024-11-13_13:13:49.991385
Total,,WRITE-IN,,375,2024-11-13_13:13:49.991385
