boro,reported,candidate,party,votes,scrape_time
Kings,96.83%,Kalman Yeger,(Democratic),17818,2024-11-07_14:18:31.278227
Kings,96.83%,Kalman Yeger,(Republican),15680,2024-11-07_14:18:31.278227
Kings,96.83%,Kalman Yeger,(Conservative),1903,2024-11-07_14:18:31.278227
Kings,96.83%,WRITE-IN,,324,2024-11-07_14:18:31.278227
Total,,Kalman Yeger,(Democratic),17818,2024-11-07_14:18:31.278227
Total,,Kalman Yeger,(Republican),15680,2024-11-07_14:18:31.278227
Total,,Kalman Yeger,(Conservative),1903,2024-11-07_14:18:31.278227
Total,,WRITE-IN,,324,2024-11-07_14:18:31.278227
