ED_num,reported,candidate,party,votes,AD_num,scrape_time
ED   37,99.00%,Marquis Jenkins (M),(Democratic),37,AD 74,2025-07-02_13:54:02.724631
ED   37,99.00%,Ciara Marie Lugo (F),(Democratic),31,AD 74,2025-07-02_13:54:02.724631
ED   37,99.00%,Jasmin Sanchez (F),(Democratic),69,AD 74,2025-07-02_13:54:02.724631
ED   37,99.00%,WRITE-IN,&nbsp,3,AD 74,2025-07-02_13:54:02.724631
ED   38,99.00%,Francisco E. Gonzalez (M),(Democratic),27,AD 74,2025-07-02_13:54:02.724631
ED   38,99.00%,Marquis Jenkins (M),(Democratic),20,AD 74,2025-07-02_13:54:02.724631
ED   38,99.00%,Ciara Marie Lugo (F),(Democratic),20,AD 74,2025-07-02_13:54:02.724631
ED   38,99.00%,Jasmin Sanchez (F),(Democratic),63,AD 74,2025-07-02_13:54:02.724631
ED   38,99.00%,WRITE-IN,&nbsp,3,AD 74,2025-07-02_13:54:02.724631
ED   39,99.00%,Francisco E. Gonzalez (M),(Democratic),22,AD 74,2025-07-02_13:54:02.724631
ED   39,99.00%,Marquis Jenkins (M),(Democratic),29,AD 74,2025-07-02_13:54:02.724631
ED   39,99.00%,Ciara Marie Lugo (F),(Democratic),20,AD 74,2025-07-02_13:54:02.724631
ED   39,99.00%,Jasmin Sanchez (F),(Democratic),50,AD 74,2025-07-02_13:54:02.724631
ED   39,99.00%,WRITE-IN,&nbsp,0,AD 74,2025-07-02_13:54:02.724631
ED   40,99.00%,Francisco E. Gonzalez (M),(Democratic),26,AD 74,2025-07-02_13:54:02.724631
ED   40,99.00%,Marquis Jenkins (M),(Democratic),23,AD 74,2025-07-02_13:54:02.724631
ED   40,99.00%,Ciara Marie Lugo (F),(Democratic),27,AD 74,2025-07-02_13:54:02.724631
ED   40,99.00%,Jasmin Sanchez (F),(Democratic),51,AD 74,2025-07-02_13:54:02.724631
ED   40,99.00%,WRITE-IN,&nbsp,2,AD 74,2025-07-02_13:54:02.724631
ED   41,99.00%,Francisco E. Gonzalez (M),(Democratic),68,AD 74,2025-07-02_13:54:02.724631
ED   41,99.00%,Marquis Jenkins (M),(Democratic),62,AD 74,2025-07-02_13:54:02.724631
ED   41,99.00%,Ciara Marie Lugo (F),(Democratic),96,AD 74,2025-07-02_13:54:02.724631
ED   41,99.00%,Jasmin Sanchez (F),(Democratic),94,AD 74,2025-07-02_13:54:02.724631
ED   41,99.00%,WRITE-IN,&nbsp,1,AD 74,2025-07-02_13:54:02.724631
ED   42,99.00%,Francisco E. Gonzalez (M),(Democratic),75,AD 74,2025-07-02_13:54:02.724631
ED   42,99.00%,Marquis Jenkins (M),(Democratic),84,AD 74,2025-07-02_13:54:02.724631
ED   42,99.00%,Ciara Marie Lugo (F),(Democratic),117,AD 74,2025-07-02_13:54:02.724631
ED   42,99.00%,Jasmin Sanchez (F),(Democratic),141,AD 74,2025-07-02_13:54:02.724631
ED   42,99.00%,WRITE-IN,&nbsp,2,AD 74,2025-07-02_13:54:02.724631
ED   43,99.00%,Francisco E. Gonzalez (M),(Democratic),83,AD 74,2025-07-02_13:54:02.724631
ED   43,99.00%,Marquis Jenkins (M),(Democratic),99,AD 74,2025-07-02_13:54:02.724631
ED   43,99.00%,Ciara Marie Lugo (F),(Democratic),211,AD 74,2025-07-02_13:54:02.724631
ED   43,99.00%,Jasmin Sanchez (F),(Democratic),219,AD 74,2025-07-02_13:54:02.724631
ED   43,99.00%,WRITE-IN,&nbsp,3,AD 74,2025-07-02_13:54:02.724631
Total,,Francisco E. Gonzalez (M),(Democratic),1314,AD 74,2025-07-02_13:54:02.724631
Total,,Marquis Jenkins (M),(Democratic),1307,AD 74,2025-07-02_13:54:02.724631
Total,,Ciara Marie Lugo (F),(Democratic),1901,AD 74,2025-07-02_13:54:02.724631
Total,,Jasmin Sanchez (F),(Democratic),2493,AD 74,2025-07-02_13:54:02.724631
Total,,WRITE-IN,&nbsp,41,AD 74,2025-07-02_13:54:02.724631
