boro,reported,candidate,party,votes,scrape_time
Queens,96.98%,Elizabeth J. Newton,(Democratic),151279,2024-11-07_14:19:45.259827
Queens,96.98%,WRITE-IN,,1500,2024-11-07_14:19:45.259827
Total,,Elizabeth J. Newton,(Democratic),151279,2024-11-07_14:19:45.259827
Total,,WRITE-IN,,1500,2024-11-07_14:19:45.259827
