AD_num,reported,candidate,party,votes,scrape_time
AD   41,96.77%,Janice Robinson,(Democratic),1965,2024-11-13_13:14:51.09485
AD   41,96.77%,Norma J. Jennings,(Democratic),1708,2024-11-13_13:14:51.09485
AD   41,96.77%,WRITE-IN,,90,2024-11-13_13:14:51.09485
AD   42,97.00%,Janice Robinson,(Democratic),30963,2024-11-13_13:14:51.09485
AD   42,97.00%,Norma J. Jennings,(Democratic),27120,2024-11-13_13:14:51.09485
AD   42,97.00%,WRITE-IN,,611,2024-11-13_13:14:51.09485
AD   43,98.44%,Janice Robinson,(Democratic),21339,2024-11-13_13:14:51.09485
AD   43,98.44%,Norma J. Jennings,(Democratic),18890,2024-11-13_13:14:51.09485
AD   43,98.44%,WRITE-IN,,218,2024-11-13_13:14:51.09485
AD   44,96.00%,Janice Robinson,(Democratic),22999,2024-11-13_13:14:51.09485
AD   44,96.00%,Norma J. Jennings,(Democratic),21670,2024-11-13_13:14:51.09485
AD   44,96.00%,WRITE-IN,,461,2024-11-13_13:14:51.09485
AD   48,96.00%,Janice Robinson,(Democratic),2757,2024-11-13_13:14:51.09485
AD   48,96.00%,Norma J. Jennings,(Democratic),2501,2024-11-13_13:14:51.09485
AD   48,96.00%,WRITE-IN,,327,2024-11-13_13:14:51.09485
AD   52,99.00%,Janice Robinson,(Democratic),8199,2024-11-13_13:14:51.09485
AD   52,99.00%,Norma J. Jennings,(Democratic),7983,2024-11-13_13:14:51.09485
AD   52,99.00%,WRITE-IN,,89,2024-11-13_13:14:51.09485
AD   57,97.78%,Janice Robinson,(Democratic),10166,2024-11-13_13:14:51.09485
AD   57,97.78%,Norma J. Jennings,(Democratic),9082,2024-11-13_13:14:51.09485
AD   57,97.78%,WRITE-IN,,134,2024-11-13_13:14:51.09485
AD   58,99.00%,Janice Robinson,(Democratic),2276,2024-11-13_13:14:51.09485
AD   58,99.00%,Norma J. Jennings,(Democratic),1984,2024-11-13_13:14:51.09485
AD   58,99.00%,WRITE-IN,,16,2024-11-13_13:14:51.09485
Total,,Janice Robinson,(Democratic),100664,2024-11-13_13:14:51.09485
Total,,Norma J. Jennings,(Democratic),90938,2024-11-13_13:14:51.09485
Total,,WRITE-IN,,1946,2024-11-13_13:14:51.09485
