boro,reported,candidate,party,votes,scrape_time
Kings,97.75%,Janice Robinson,(Democratic),100664,2024-11-13_13:14:51.09485
Kings,97.75%,Norma J. Jennings,(Democratic),90938,2024-11-13_13:14:51.09485
Kings,97.75%,WRITE-IN,,1946,2024-11-13_13:14:51.09485
Total,,Janice Robinson,(Democratic),100664,2024-11-13_13:14:51.09485
Total,,Norma J. Jennings,(Democratic),90938,2024-11-13_13:14:51.09485
Total,,WRITE-IN,,1946,2024-11-13_13:14:51.09485
