boro,reported,candidate,party,votes,scrape_time
New York,98.94%,Deborah Glick,(Democratic),14577,2025-07-02_13:54:07.041727
New York,98.94%,Kathryn Freed,(Democratic),9661,2025-07-02_13:54:07.041727
New York,98.94%,David Siffert,(Democratic),7018,2025-07-02_13:54:07.041727
New York,98.94%,Eliza Orlins,(Democratic),8582,2025-07-02_13:54:07.041727
New York,98.94%,Anthony S. Hoffmann,(Democratic),7411,2025-07-02_13:54:07.041727
New York,98.94%,Allen N. Roskoff,(Democratic),6855,2025-07-02_13:54:07.041727
New York,98.94%,Susan Barrie,(Democratic),8523,2025-07-02_13:54:07.041727
New York,98.94%,Sheila R. Rule,(Democratic),8229,2025-07-02_13:54:07.041727
New York,98.94%,Patricia Laraia,(Democratic),8024,2025-07-02_13:54:07.041727
New York,98.94%,Morton Minsley,(Democratic),6026,2025-07-02_13:54:07.041727
New York,98.94%,Daniel Palmisano,(Democratic),6472,2025-07-02_13:54:07.041727
New York,98.94%,Richard Corman,(Democratic),6302,2025-07-02_13:54:07.041727
New York,98.94%,Linda Jacobson,(Democratic),8640,2025-07-02_13:54:07.041727
New York,98.94%,Dennis Gault,(Democratic),6140,2025-07-02_13:54:07.041727
New York,98.94%,Melissa Carty,(Democratic),8127,2025-07-02_13:54:07.041727
New York,98.94%,Erin Hussein,(Democratic),2641,2025-07-02_13:54:07.041727
New York,98.94%,Maria Passanente-Derr,(Democratic),2458,2025-07-02_13:54:07.041727
New York,98.94%,Sylvia E. Di Pietro,(Democratic),2830,2025-07-02_13:54:07.041727
New York,98.94%,Maureen Remacle,(Democratic),2107,2025-07-02_13:54:07.041727
New York,98.94%,Vanessa Warren,(Democratic),2911,2025-07-02_13:54:07.041727
New York,98.94%,Mark Fiedler,(Democratic),1932,2025-07-02_13:54:07.041727
New York,98.94%,Susan Lee,(Democratic),3269,2025-07-02_13:54:07.041727
New York,98.94%,Alix Fredrika Kucker,(Democratic),1236,2025-07-02_13:54:07.041727
New York,98.94%,Norma Ramirez,(Democratic),2689,2025-07-02_13:54:07.041727
New York,98.94%,Joan Karn,(Democratic),1957,2025-07-02_13:54:07.041727
New York,98.94%,Alan Ross,(Democratic),1610,2025-07-02_13:54:07.041727
New York,98.94%,WRITE-IN,,360,2025-07-02_13:54:07.041727
Total,,Deborah Glick,(Democratic),14577,2025-07-02_13:54:07.041727
Total,,Kathryn Freed,(Democratic),9661,2025-07-02_13:54:07.041727
Total,,David Siffert,(Democratic),7018,2025-07-02_13:54:07.041727
Total,,Eliza Orlins,(Democratic),8582,2025-07-02_13:54:07.041727
Total,,Anthony S. Hoffmann,(Democratic),7411,2025-07-02_13:54:07.041727
Total,,Allen N. Roskoff,(Democratic),6855,2025-07-02_13:54:07.041727
Total,,Susan Barrie,(Democratic),8523,2025-07-02_13:54:07.041727
Total,,Sheila R. Rule,(Democratic),8229,2025-07-02_13:54:07.041727
Total,,Patricia Laraia,(Democratic),8024,2025-07-02_13:54:07.041727
Total,,Morton Minsley,(Democratic),6026,2025-07-02_13:54:07.041727
Total,,Daniel Palmisano,(Democratic),6472,2025-07-02_13:54:07.041727
Total,,Richard Corman,(Democratic),6302,2025-07-02_13:54:07.041727
Total,,Linda Jacobson,(Democratic),8640,2025-07-02_13:54:07.041727
Total,,Dennis Gault,(Democratic),6140,2025-07-02_13:54:07.041727
Total,,Melissa Carty,(Democratic),8127,2025-07-02_13:54:07.041727
Total,,Erin Hussein,(Democratic),2641,2025-07-02_13:54:07.041727
Total,,Maria Passanente-Derr,(Democratic),2458,2025-07-02_13:54:07.041727
Total,,Sylvia E. Di Pietro,(Democratic),2830,2025-07-02_13:54:07.041727
Total,,Maureen Remacle,(Democratic),2107,2025-07-02_13:54:07.041727
Total,,Vanessa Warren,(Democratic),2911,2025-07-02_13:54:07.041727
Total,,Mark Fiedler,(Democratic),1932,2025-07-02_13:54:07.041727
Total,,Susan Lee,(Democratic),3269,2025-07-02_13:54:07.041727
Total,,Alix Fredrika Kucker,(Democratic),1236,2025-07-02_13:54:07.041727
Total,,Norma Ramirez,(Democratic),2689,2025-07-02_13:54:07.041727
Total,,Joan Karn,(Democratic),1957,2025-07-02_13:54:07.041727
Total,,Alan Ross,(Democratic),1610,2025-07-02_13:54:07.041727
Total,,WRITE-IN,,360,2025-07-02_13:54:07.041727
