boro,reported,candidate,party,votes,scrape_time
Bronx,97.55%,Brenda L. Rivera,(Democratic),115569,2024-11-07_14:19:35.196016
Bronx,97.55%,WRITE-IN,,796,2024-11-07_14:19:35.196016
Total,,Brenda L. Rivera,(Democratic),115569,2024-11-07_14:19:35.196016
Total,,WRITE-IN,,796,2024-11-07_14:19:35.196016
