boro,reported,candidate,party,votes,scrape_time
Queens,91.11%,Latoya L. LeGrand,(Democratic),2086,2025-07-02_13:53:41.849756
Queens,91.11%,Ty Hankerson,(Democratic),4316,2025-07-02_13:53:41.849756
Queens,91.11%,Romeo Hitlall,(Democratic),1127,2025-07-02_13:53:41.849756
Queens,91.11%,Ruben W. Wills,(Democratic),1745,2025-07-02_13:53:41.849756
Queens,91.11%,Japneet Singh,(Democratic),3069,2025-07-02_13:53:41.849756
Queens,91.11%,WRITE-IN,,55,2025-07-02_13:53:41.849756
Total,,Latoya L. LeGrand,(Democratic),2086,2025-07-02_13:53:41.849756
Total,,Ty Hankerson,(Democratic),4316,2025-07-02_13:53:41.849756
Total,,Romeo Hitlall,(Democratic),1127,2025-07-02_13:53:41.849756
Total,,Ruben W. Wills,(Democratic),1745,2025-07-02_13:53:41.849756
Total,,Japneet Singh,(Democratic),3069,2025-07-02_13:53:41.849756
Total,,WRITE-IN,,55,2025-07-02_13:53:41.849756
