AD_num,reported,candidate,party,votes,scrape_time
AD   53,99.00%,Maritza Davila,(Democratic),30236,2024-11-07_14:08:43.555474
AD   53,99.00%,WRITE-IN,,224,2024-11-07_14:08:43.555474
Total,,Maritza Davila,(Democratic),30236,2024-11-07_14:08:43.555474
Total,,WRITE-IN,,224,2024-11-07_14:08:43.555474
