boro,reported,candidate,party,votes,scrape_time
New York,85.71%,Miguel Estrella,(Republican),55,2025-07-02_13:54:34.857664
New York,85.71%,Lisa Pressley,(Republican),35,2025-07-02_13:54:34.857664
New York,85.71%,WRITE-IN,,7,2025-07-02_13:54:34.857664
Total,,Miguel Estrella,(Republican),55,2025-07-02_13:54:34.857664
Total,,Lisa Pressley,(Republican),35,2025-07-02_13:54:34.857664
Total,,WRITE-IN,,7,2025-07-02_13:54:34.857664
