boro,reported,candidate,party,votes,scrape_time
Bronx,91.01%,Pierina A. Sanchez,(Democratic),5635,2025-07-02_13:53:34.924169
Bronx,91.01%,Fernando Cabrera,(Democratic),1886,2025-07-02_13:53:34.924169
Bronx,91.01%,Bryan Hodge Vasquez,(Democratic),915,2025-07-02_13:53:34.924169
Bronx,91.01%,WRITE-IN,,36,2025-07-02_13:53:34.924169
Total,,Pierina A. Sanchez,(Democratic),5635,2025-07-02_13:53:34.924169
Total,,Fernando Cabrera,(Democratic),1886,2025-07-02_13:53:34.924169
Total,,Bryan Hodge Vasquez,(Democratic),915,2025-07-02_13:53:34.924169
Total,,WRITE-IN,,36,2025-07-02_13:53:34.924169
