boro,reported,candidate,party,votes,scrape_time
Kings,97.75%,Simcha Felder,(Democratic),20804,2024-11-07_14:07:59.298666
Kings,97.75%,Simcha Felder,(Republican),44680,2024-11-07_14:07:59.298666
Kings,97.75%,Simcha Felder,(Conservative),6333,2024-11-07_14:07:59.298666
Kings,97.75%,WRITE-IN,,635,2024-11-07_14:07:59.298666
Total,,Simcha Felder,(Democratic),20804,2024-11-07_14:07:59.298666
Total,,Simcha Felder,(Republican),44680,2024-11-07_14:07:59.298666
Total,,Simcha Felder,(Conservative),6333,2024-11-07_14:07:59.298666
Total,,WRITE-IN,,635,2024-11-07_14:07:59.298666
