boro,reported,candidate,party,votes,scrape_time
Kings,98.17%,Jaime R. Williams,(Democratic),27667,2024-11-13_13:14:27.275709
Kings,98.17%,Jaime R. Williams,(Republican),9747,2024-11-13_13:14:27.275709
Kings,98.17%,Jaime R. Williams,(Conservative),1571,2024-11-13_13:14:27.275709
Kings,98.17%,WRITE-IN,,178,2024-11-13_13:14:27.275709
Total,,Jaime R. Williams,(Democratic),27667,2024-11-13_13:14:27.275709
Total,,Jaime R. Williams,(Republican),9747,2024-11-13_13:14:27.275709
Total,,Jaime R. Williams,(Conservative),1571,2024-11-13_13:14:27.275709
Total,,WRITE-IN,,178,2024-11-13_13:14:27.275709
