boro,reported,candidate,party,votes,scrape_time
Queens,98.40%,Khaleel M. Anderson,(Democratic),24491,2024-11-13_13:14:14.691427
Queens,98.40%,Khaleel M. Anderson,(Working Families),1930,2024-11-13_13:14:14.691427
Queens,98.40%,WRITE-IN,,164,2024-11-13_13:14:14.691427
Total,,Khaleel M. Anderson,(Democratic),24491,2024-11-13_13:14:14.691427
Total,,Khaleel M. Anderson,(Working Families),1930,2024-11-13_13:14:14.691427
Total,,WRITE-IN,,164,2024-11-13_13:14:14.691427
