boro,reported,candidate,party,votes,scrape_time
New York,99.00%,Jay Jacky Wong (M),(Democratic),1920,2025-07-02_13:53:57.976243
New York,99.00%,Magda Napoleon (F),(Democratic),1588,2025-07-02_13:53:57.976243
New York,99.00%,Ron Thomas (M),(Democratic),881,2025-07-02_13:53:57.976243
New York,99.00%,WRITE-IN,,119,2025-07-02_13:53:57.976243
Total,,Jay Jacky Wong (M),(Democratic),1920,2025-07-02_13:53:57.976243
Total,,Magda Napoleon (F),(Democratic),1588,2025-07-02_13:53:57.976243
Total,,Ron Thomas (M),(Democratic),881,2025-07-02_13:53:57.976243
Total,,WRITE-IN,,119,2025-07-02_13:53:57.976243
