boro,reported,candidate,party,votes,scrape_time
Kings,99.00%,Jo Anne Simon,(Democratic),47388,2024-11-07_14:08:43.205649
Kings,99.00%,Brett Wynkoop,(Conservative),3517,2024-11-07_14:08:43.205649
Kings,99.00%,Jo Anne Simon,(Working Families),8901,2024-11-07_14:08:43.205649
Kings,99.00%,WRITE-IN,,162,2024-11-07_14:08:43.205649
Total,,Jo Anne Simon,(Democratic),47388,2024-11-07_14:08:43.205649
Total,,Brett Wynkoop,(Conservative),3517,2024-11-07_14:08:43.205649
Total,,Jo Anne Simon,(Working Families),8901,2024-11-07_14:08:43.205649
Total,,WRITE-IN,,162,2024-11-07_14:08:43.205649
