boro,reported,candidate,party,votes,scrape_time
New York,98.48%,Federico Colon,(Democratic),860,2025-07-02_13:53:29.612507
New York,98.48%,Raymond Santana,(Democratic),1214,2025-07-02_13:53:29.612507
New York,98.48%,Wilfredo Lopez,(Democratic),1929,2025-07-02_13:53:29.612507
New York,98.48%,Rosa G. Diaz,(Democratic),1058,2025-07-02_13:53:29.612507
New York,98.48%,Nicholas A. Reyes,(Democratic),839,2025-07-02_13:53:29.612507
New York,98.48%,Elsie Encarnacion,(Democratic),3464,2025-07-02_13:53:29.612507
New York,98.48%,Clarisa M. Alayeto,(Democratic),1066,2025-07-02_13:53:29.612507
New York,98.48%,WRITE-IN,,58,2025-07-02_13:53:29.612507
Bronx,99.00%,Federico Colon,(Democratic),373,2025-07-02_13:53:29.612507
Bronx,99.00%,Raymond Santana,(Democratic),469,2025-07-02_13:53:29.612507
Bronx,99.00%,Wilfredo Lopez,(Democratic),742,2025-07-02_13:53:29.612507
Bronx,99.00%,Rosa G. Diaz,(Democratic),403,2025-07-02_13:53:29.612507
Bronx,99.00%,Nicholas A. Reyes,(Democratic),182,2025-07-02_13:53:29.612507
Bronx,99.00%,Elsie Encarnacion,(Democratic),720,2025-07-02_13:53:29.612507
Bronx,99.00%,Clarisa M. Alayeto,(Democratic),1162,2025-07-02_13:53:29.612507
Bronx,99.00%,WRITE-IN,,26,2025-07-02_13:53:29.612507
Total,,Federico Colon,(Democratic),1233,2025-07-02_13:53:29.612507
Total,,Raymond Santana,(Democratic),1683,2025-07-02_13:53:29.612507
Total,,Wilfredo Lopez,(Democratic),2671,2025-07-02_13:53:29.612507
Total,,Rosa G. Diaz,(Democratic),1461,2025-07-02_13:53:29.612507
Total,,Nicholas A. Reyes,(Democratic),1021,2025-07-02_13:53:29.612507
Total,,Elsie Encarnacion,(Democratic),4184,2025-07-02_13:53:29.612507
Total,,Clarisa M. Alayeto,(Democratic),2228,2025-07-02_13:53:29.612507
Total,,WRITE-IN,,84,2025-07-02_13:53:29.612507
