boro,reported,candidate,party,votes,scrape_time
Queens,95.41%,Karen Koslowitz,(Democratic),6300,2025-07-02_13:54:04.82369
Queens,95.41%,Matthew M. Mandell,(Democratic),3562,2025-07-02_13:54:04.82369
Queens,95.41%,Ronnie Croce,(Democratic),2875,2025-07-02_13:54:04.82369
Queens,95.41%,Kevin Ly,(Democratic),3235,2025-07-02_13:54:04.82369
Queens,95.41%,Edwin K. Wong,(Democratic),4318,2025-07-02_13:54:04.82369
Queens,95.41%,Sandra S. Mandell,(Democratic),4447,2025-07-02_13:54:04.82369
Queens,95.41%,David Aronov,(Democratic),3319,2025-07-02_13:54:04.82369
Queens,95.41%,Denise D. Rachnaev,(Democratic),3098,2025-07-02_13:54:04.82369
Queens,95.41%,Melissa Ann San Pedro,(Democratic),3807,2025-07-02_13:54:04.82369
Queens,95.41%,Soumaly King,(Democratic),2334,2025-07-02_13:54:04.82369
Queens,95.41%,Richard J. Nunez-Lawrence,(Democratic),2215,2025-07-02_13:54:04.82369
Queens,95.41%,Maria D. Kaufer,(Democratic),3200,2025-07-02_13:54:04.82369
Queens,95.41%,Ximena M. Frankel,(Democratic),2710,2025-07-02_13:54:04.82369
Queens,95.41%,Lauren J. Clavin,(Democratic),2841,2025-07-02_13:54:04.82369
Queens,95.41%,Gladys Sandoval,(Democratic),3325,2025-07-02_13:54:04.82369
Queens,95.41%,Mark E. Morrill,(Democratic),2089,2025-07-02_13:54:04.82369
Queens,95.41%,WRITE-IN,,215,2025-07-02_13:54:04.82369
Total,,Karen Koslowitz,(Democratic),6300,2025-07-02_13:54:04.82369
Total,,Matthew M. Mandell,(Democratic),3562,2025-07-02_13:54:04.82369
Total,,Ronnie Croce,(Democratic),2875,2025-07-02_13:54:04.82369
Total,,Kevin Ly,(Democratic),3235,2025-07-02_13:54:04.82369
Total,,Edwin K. Wong,(Democratic),4318,2025-07-02_13:54:04.82369
Total,,Sandra S. Mandell,(Democratic),4447,2025-07-02_13:54:04.82369
Total,,David Aronov,(Democratic),3319,2025-07-02_13:54:04.82369
Total,,Denise D. Rachnaev,(Democratic),3098,2025-07-02_13:54:04.82369
Total,,Melissa Ann San Pedro,(Democratic),3807,2025-07-02_13:54:04.82369
Total,,Soumaly King,(Democratic),2334,2025-07-02_13:54:04.82369
Total,,Richard J. Nunez-Lawrence,(Democratic),2215,2025-07-02_13:54:04.82369
Total,,Maria D. Kaufer,(Democratic),3200,2025-07-02_13:54:04.82369
Total,,Ximena M. Frankel,(Democratic),2710,2025-07-02_13:54:04.82369
Total,,Lauren J. Clavin,(Democratic),2841,2025-07-02_13:54:04.82369
Total,,Gladys Sandoval,(Democratic),3325,2025-07-02_13:54:04.82369
Total,,Mark E. Morrill,(Democratic),2089,2025-07-02_13:54:04.82369
Total,,WRITE-IN,,215,2025-07-02_13:54:04.82369
