AD_num,reported,candidate,party,votes,scrape_time
AD   27,99.00%,David Aiken,(Democratic),0,2025-07-02_13:53:39.688336
AD   27,99.00%,Shanel Thomas-Henry,(Democratic),0,2025-07-02_13:53:39.688336
AD   27,99.00%,Erycka Montoya,(Democratic),0,2025-07-02_13:53:39.688336
AD   27,99.00%,Yanna M. Henriquez,(Democratic),0,2025-07-02_13:53:39.688336
AD   27,99.00%,WRITE-IN,,0,2025-07-02_13:53:39.688336
AD   34,93.55%,David Aiken,(Democratic),245,2025-07-02_13:53:39.688336
AD   34,93.55%,Shanel Thomas-Henry,(Democratic),171,2025-07-02_13:53:39.688336
AD   34,93.55%,Erycka Montoya,(Democratic),394,2025-07-02_13:53:39.688336
AD   34,93.55%,Yanna M. Henriquez,(Democratic),364,2025-07-02_13:53:39.688336
AD   34,93.55%,WRITE-IN,,14,2025-07-02_13:53:39.688336
AD   35,93.33%,David Aiken,(Democratic),991,2025-07-02_13:53:39.688336
AD   35,93.33%,Shanel Thomas-Henry,(Democratic),1860,2025-07-02_13:53:39.688336
AD   35,93.33%,Erycka Montoya,(Democratic),949,2025-07-02_13:53:39.688336
AD   35,93.33%,Yanna M. Henriquez,(Democratic),874,2025-07-02_13:53:39.688336
AD   35,93.33%,WRITE-IN,,26,2025-07-02_13:53:39.688336
AD   39,99.00%,David Aiken,(Democratic),229,2025-07-02_13:53:39.688336
AD   39,99.00%,Shanel Thomas-Henry,(Democratic),226,2025-07-02_13:53:39.688336
AD   39,99.00%,Erycka Montoya,(Democratic),505,2025-07-02_13:53:39.688336
AD   39,99.00%,Yanna M. Henriquez,(Democratic),440,2025-07-02_13:53:39.688336
AD   39,99.00%,WRITE-IN,,15,2025-07-02_13:53:39.688336
Total,,David Aiken,(Democratic),1465,2025-07-02_13:53:39.688336
Total,,Shanel Thomas-Henry,(Democratic),2257,2025-07-02_13:53:39.688336
Total,,Erycka Montoya,(Democratic),1848,2025-07-02_13:53:39.688336
Total,,Yanna M. Henriquez,(Democratic),1678,2025-07-02_13:53:39.688336
Total,,WRITE-IN,,55,2025-07-02_13:53:39.688336
