boro,reported,candidate,party,votes,scrape_time
Kings,99.00%,Michael N. Gianaris,(Democratic),1,2024-11-13_13:13:35.670757
Kings,99.00%,Han-Khon To,(Republican),2,2024-11-13_13:13:35.670757
Kings,99.00%,Michael N. Gianaris,(Working Families),-,2024-11-13_13:13:35.670757
Kings,99.00%,WRITE-IN,,-,2024-11-13_13:13:35.670757
Queens,99.00%,Michael N. Gianaris,(Democratic),45045,2024-11-13_13:13:35.670757
Queens,99.00%,Han-Khon To,(Republican),26610,2024-11-13_13:13:35.670757
Queens,99.00%,Michael N. Gianaris,(Working Families),9328,2024-11-13_13:13:35.670757
Queens,99.00%,WRITE-IN,,272,2024-11-13_13:13:35.670757
Total,,Michael N. Gianaris,(Democratic),45046,2024-11-13_13:13:35.670757
Total,,Han-Khon To,(Republican),26612,2024-11-13_13:13:35.670757
Total,,Michael N. Gianaris,(Working Families),9328,2024-11-13_13:13:35.670757
Total,,WRITE-IN,,272,2024-11-13_13:13:35.670757
