boro,reported,candidate,party,votes,scrape_time
Kings,97.67%,Kevin S. Parker,(Democratic),76063,2024-11-07_14:17:44.591426
Kings,97.67%,WRITE-IN,,1237,2024-11-07_14:17:44.591426
Total,,Kevin S. Parker,(Democratic),76063,2024-11-07_14:17:44.591426
Total,,WRITE-IN,,1237,2024-11-07_14:17:44.591426
