boro,reported,candidate,party,votes,scrape_time
Bronx,98.84%,Michael Benedetto,(Democratic),28244,2024-11-07_14:09:01.749051
Bronx,98.84%,Juan De la Cruz,(Republican),11461,2024-11-07_14:09:01.749051
Bronx,98.84%,Juan De la Cruz,(Conservative),1334,2024-11-07_14:09:01.749051
Bronx,98.84%,WRITE-IN,,91,2024-11-07_14:09:01.749051
Total,,Michael Benedetto,(Democratic),28244,2024-11-07_14:09:01.749051
Total,,Juan De la Cruz,(Republican),11461,2024-11-07_14:09:01.749051
Total,,Juan De la Cruz,(Conservative),1334,2024-11-07_14:09:01.749051
Total,,WRITE-IN,,91,2024-11-07_14:09:01.749051
