boro,reported,candidate,party,votes
New York,97.25%,YES,,473030
New York,97.25%,NO,,77843
Bronx,97.60%,YES,,249639
Bronx,97.60%,NO,,50731
Kings,97.95%,YES,,523390
Kings,97.95%,NO,,141885
Queens,97.65%,YES,,435697
Queens,97.65%,NO,,150663
Richmond,97.22%,YES,,88503
Richmond,97.22%,NO,,88153
Total,,YES,,1770259
Total,,NO,,509275
