ED_num,reported,candidate,party,votes,AD_num
ED   54,99.00%,YES,&nbsp,436,AD 23
ED   54,99.00%,NO,&nbsp,127,AD 23
ED   55,99.00%,YES,&nbsp,174,AD 23
ED   55,99.00%,NO,&nbsp,61,AD 23
ED   56,99.00%,YES,&nbsp,177,AD 23
ED   56,99.00%,NO,&nbsp,75,AD 23
ED   57,99.00%,YES,&nbsp,281,AD 23
ED   57,99.00%,NO,&nbsp,98,AD 23
ED   58,99.00%,YES,&nbsp,162,AD 23
ED   58,99.00%,NO,&nbsp,319,AD 23
ED   59,99.00%,YES,&nbsp,146,AD 23
ED   59,99.00%,NO,&nbsp,286,AD 23
ED   60,99.00%,YES,&nbsp,358,AD 23
ED   60,99.00%,NO,&nbsp,249,AD 23
ED   61,99.00%,YES,&nbsp,12,AD 23
ED   61,99.00%,NO,&nbsp,4,AD 23
ED   62,99.00%,YES,&nbsp,527,AD 23
ED   62,99.00%,NO,&nbsp,212,AD 23
ED   63,99.00%,YES,&nbsp,275,AD 23
ED   63,99.00%,NO,&nbsp,65,AD 23
ED   64,99.00%,YES,&nbsp,151,AD 23
ED   64,99.00%,NO,&nbsp,33,AD 23
ED   65,99.00%,YES,&nbsp,0,AD 23
ED   65,99.00%,NO,&nbsp,0,AD 23
ED   66,99.00%,YES,&nbsp,0,AD 23
ED   66,99.00%,NO,&nbsp,0,AD 23
ED   67,85.71%,YES,&nbsp,0,AD 23
ED   67,85.71%,NO,&nbsp,1,AD 23
ED   68,99.00%,YES,&nbsp,0,AD 23
ED   68,99.00%,NO,&nbsp,0,AD 23
ED   69,99.00%,YES,&nbsp,0,AD 23
ED   69,99.00%,NO,&nbsp,0,AD 23
ED   70,99.00%,YES,&nbsp,0,AD 23
ED   70,99.00%,NO,&nbsp,0,AD 23
ED   71,99.00%,YES,&nbsp,0,AD 23
ED   71,99.00%,NO,&nbsp,0,AD 23
ED   72,99.00%,YES,&nbsp,0,AD 23
ED   72,99.00%,NO,&nbsp,0,AD 23
Total,,YES,&nbsp,21245,AD 23
Total,,NO,&nbsp,19905,AD 23
ED    1,99.00%,YES,&nbsp,161,AD 24
ED    1,99.00%,NO,&nbsp,40,AD 24
ED    2,99.00%,YES,&nbsp,239,AD 24
ED    2,99.00%,NO,&nbsp,52,AD 24
ED    3,99.00%,YES,&nbsp,458,AD 24
ED    3,99.00%,NO,&nbsp,139,AD 24
ED    4,99.00%,YES,&nbsp,369,AD 24
ED    4,99.00%,NO,&nbsp,84,AD 24
ED    5,99.00%,YES,&nbsp,401,AD 24
ED    5,99.00%,NO,&nbsp,70,AD 24
ED    6,99.00%,YES,&nbsp,482,AD 24
ED    6,99.00%,NO,&nbsp,137,AD 24
ED    7,99.00%,YES,&nbsp,409,AD 24
ED    7,99.00%,NO,&nbsp,80,AD 24
ED    8,99.00%,YES,&nbsp,507,AD 24
ED    8,99.00%,NO,&nbsp,130,AD 24
ED    9,99.00%,YES,&nbsp,616,AD 24
ED    9,99.00%,NO,&nbsp,119,AD 24
ED   10,99.00%,YES,&nbsp,562,AD 24
ED   10,99.00%,NO,&nbsp,85,AD 24
ED   11,99.00%,YES,&nbsp,350,AD 24
ED   11,99.00%,NO,&nbsp,84,AD 24
ED   12,99.00%,YES,&nbsp,283,AD 24
ED   12,99.00%,NO,&nbsp,74,AD 24
ED   13,99.00%,YES,&nbsp,520,AD 24
ED   13,99.00%,NO,&nbsp,92,AD 24
ED   14,99.00%,YES,&nbsp,373,AD 24
ED   14,99.00%,NO,&nbsp,124,AD 24
ED   15,87.50%,YES,&nbsp,360,AD 24
ED   15,87.50%,NO,&nbsp,90,AD 24
ED   17,99.00%,YES,&nbsp,78,AD 24
ED   17,99.00%,NO,&nbsp,17,AD 24
ED   18,99.00%,YES,&nbsp,322,AD 24
ED   18,99.00%,NO,&nbsp,86,AD 24
ED   19,99.00%,YES,&nbsp,433,AD 24
ED   19,99.00%,NO,&nbsp,81,AD 24
ED   20,99.00%,YES,&nbsp,202,AD 24
ED   20,99.00%,NO,&nbsp,22,AD 24
ED   21,99.00%,YES,&nbsp,285,AD 24
ED   21,99.00%,NO,&nbsp,167,AD 24
ED   22,99.00%,YES,&nbsp,51,AD 24
ED   22,99.00%,NO,&nbsp,37,AD 24
ED   23,99.00%,YES,&nbsp,297,AD 24
ED   23,99.00%,NO,&nbsp,58,AD 24
ED   24,99.00%,YES,&nbsp,242,AD 24
ED   24,99.00%,NO,&nbsp,160,AD 24
ED   25,99.00%,YES,&nbsp,147,AD 24
ED   25,99.00%,NO,&nbsp,60,AD 24
ED   26,99.00%,YES,&nbsp,318,AD 24
ED   26,99.00%,NO,&nbsp,75,AD 24
ED   27,99.00%,YES,&nbsp,214,AD 24
ED   27,99.00%,NO,&nbsp,55,AD 24
ED   28,99.00%,YES,&nbsp,262,AD 24
ED   28,99.00%,NO,&nbsp,93,AD 24
ED   29,99.00%,YES,&nbsp,449,AD 24
ED   29,99.00%,NO,&nbsp,68,AD 24
ED   30,99.00%,YES,&nbsp,348,AD 24
ED   30,99.00%,NO,&nbsp,125,AD 24
ED   31,99.00%,YES,&nbsp,469,AD 24
ED   31,99.00%,NO,&nbsp,179,AD 24
ED   32,99.00%,YES,&nbsp,385,AD 24
ED   32,99.00%,NO,&nbsp,86,AD 24
ED   33,85.71%,YES,&nbsp,16,AD 24
ED   33,85.71%,NO,&nbsp,20,AD 24
ED   34,99.00%,YES,&nbsp,136,AD 24
ED   34,99.00%,NO,&nbsp,43,AD 24
ED   35,99.00%,YES,&nbsp,208,AD 24
ED   35,99.00%,NO,&nbsp,46,AD 24
ED   36,99.00%,YES,&nbsp,544,AD 24
ED   36,99.00%,NO,&nbsp,98,AD 24
ED   37,88.89%,YES,&nbsp,225,AD 24
ED   37,88.89%,NO,&nbsp,50,AD 24
ED   38,99.00%,YES,&nbsp,596,AD 24
ED   38,99.00%,NO,&nbsp,145,AD 24
ED   39,99.00%,YES,&nbsp,460,AD 24
ED   39,99.00%,NO,&nbsp,143,AD 24
ED   40,99.00%,YES,&nbsp,289,AD 24
ED   40,99.00%,NO,&nbsp,64,AD 24
ED   41,99.00%,YES,&nbsp,272,AD 24
ED   41,99.00%,NO,&nbsp,106,AD 24
ED   42,99.00%,YES,&nbsp,330,AD 24
ED   42,99.00%,NO,&nbsp,49,AD 24
ED   43,99.00%,YES,&nbsp,452,AD 24
ED   43,99.00%,NO,&nbsp,158,AD 24
ED   44,99.00%,YES,&nbsp,258,AD 24
ED   44,99.00%,NO,&nbsp,57,AD 24
ED   45,99.00%,YES,&nbsp,115,AD 24
ED   45,99.00%,NO,&nbsp,24,AD 24
ED   46,99.00%,YES,&nbsp,751,AD 24
ED   46,99.00%,NO,&nbsp,181,AD 24
ED   47,99.00%,YES,&nbsp,607,AD 24
ED   47,99.00%,NO,&nbsp,164,AD 24
ED   48,99.00%,YES,&nbsp,218,AD 24
ED   48,99.00%,NO,&nbsp,77,AD 24
ED   49,99.00%,YES,&nbsp,377,AD 24
ED   49,99.00%,NO,&nbsp,592,AD 24
ED   50,85.71%,YES,&nbsp,136,AD 24
ED   50,85.71%,NO,&nbsp,172,AD 24
ED   51,85.71%,YES,&nbsp,629,AD 24
ED   51,85.71%,NO,&nbsp,255,AD 24
ED   52,99.00%,YES,&nbsp,725,AD 24
ED   52,99.00%,NO,&nbsp,212,AD 24
ED   53,99.00%,YES,&nbsp,839,AD 24
ED   53,99.00%,NO,&nbsp,110,AD 24
ED   54,99.00%,YES,&nbsp,109,AD 24
ED   54,99.00%,NO,&nbsp,27,AD 24
ED   55,85.71%,YES,&nbsp,327,AD 24
ED   55,85.71%,NO,&nbsp,72,AD 24
ED   56,85.71%,YES,&nbsp,417,AD 24
ED   56,85.71%,NO,&nbsp,128,AD 24
ED   57,85.71%,YES,&nbsp,329,AD 24
ED   57,85.71%,NO,&nbsp,132,AD 24
ED   58,99.00%,YES,&nbsp,425,AD 24
ED   58,99.00%,NO,&nbsp,358,AD 24
ED   59,99.00%,YES,&nbsp,425,AD 24
ED   59,99.00%,NO,&nbsp,294,AD 24
ED   60,99.00%,YES,&nbsp,642,AD 24
ED   60,99.00%,NO,&nbsp,419,AD 24
ED   61,99.00%,YES,&nbsp,632,AD 24
ED   61,99.00%,NO,&nbsp,289,AD 24
ED   62,99.00%,YES,&nbsp,589,AD 24
ED   62,99.00%,NO,&nbsp,329,AD 24
ED   63,99.00%,YES,&nbsp,270,AD 24
ED   63,99.00%,NO,&nbsp,149,AD 24
ED   64,99.00%,YES,&nbsp,502,AD 24
ED   64,99.00%,NO,&nbsp,276,AD 24
ED   65,99.00%,YES,&nbsp,610,AD 24
ED   65,99.00%,NO,&nbsp,159,AD 24
ED   66,99.00%,YES,&nbsp,0,AD 24
ED   66,99.00%,NO,&nbsp,0,AD 24
Total,,YES,&nbsp,24052,AD 24
Total,,NO,&nbsp,8167,AD 24
ED    1,99.00%,YES,&nbsp,664,AD 25
ED    1,99.00%,NO,&nbsp,173,AD 25
ED    2,99.00%,YES,&nbsp,653,AD 25
ED    2,99.00%,NO,&nbsp,163,AD 25
ED    3,99.00%,YES,&nbsp,113,AD 25
ED    3,99.00%,NO,&nbsp,62,AD 25
ED    4,99.00%,YES,&nbsp,292,AD 25
ED    4,99.00%,NO,&nbsp,92,AD 25
ED    5,99.00%,YES,&nbsp,674,AD 25
ED    5,99.00%,NO,&nbsp,187,AD 25
ED    6,99.00%,YES,&nbsp,386,AD 25
ED    6,99.00%,NO,&nbsp,195,AD 25
ED    7,99.00%,YES,&nbsp,59,AD 25
ED    7,99.00%,NO,&nbsp,41,AD 25
ED    8,99.00%,YES,&nbsp,28,AD 25
ED    8,99.00%,NO,&nbsp,16,AD 25
ED    9,99.00%,YES,&nbsp,375,AD 25
ED    9,99.00%,NO,&nbsp,317,AD 25
ED   10,99.00%,YES,&nbsp,21,AD 25
ED   10,99.00%,NO,&nbsp,8,AD 25
ED   11,99.00%,YES,&nbsp,317,AD 25
ED   11,99.00%,NO,&nbsp,289,AD 25
ED   12,99.00%,YES,&nbsp,492,AD 25
ED   12,99.00%,NO,&nbsp,407,AD 25
ED   13,99.00%,YES,&nbsp,494,AD 25
ED   13,99.00%,NO,&nbsp,345,AD 25
ED   14,99.00%,YES,&nbsp,442,AD 25
ED   14,99.00%,NO,&nbsp,319,AD 25
ED   15,99.00%,YES,&nbsp,343,AD 25
ED   15,99.00%,NO,&nbsp,226,AD 25
ED   16,99.00%,YES,&nbsp,329,AD 25
ED   16,99.00%,NO,&nbsp,368,AD 25
ED   17,99.00%,YES,&nbsp,432,AD 25
ED   17,99.00%,NO,&nbsp,333,AD 25
ED   18,99.00%,YES,&nbsp,511,AD 25
ED   18,99.00%,NO,&nbsp,234,AD 25
ED   19,99.00%,YES,&nbsp,548,AD 25
ED   19,99.00%,NO,&nbsp,166,AD 25
ED   20,99.00%,YES,&nbsp,558,AD 25
ED   20,99.00%,NO,&nbsp,177,AD 25
ED   21,99.00%,YES,&nbsp,256,AD 25
ED   21,99.00%,NO,&nbsp,94,AD 25
ED   22,99.00%,YES,&nbsp,684,AD 25
ED   22,99.00%,NO,&nbsp,273,AD 25
ED   23,99.00%,YES,&nbsp,316,AD 25
