AD_num,reported,candidate,party,votes,scrape_time
AD   66,99.00%,Brad Hoylman-Sigal,(Democratic),5474,2024-11-13_13:14:08.320903
AD   66,99.00%,Emily Yuexin Miller,(Republican),1115,2024-11-13_13:14:08.320903
AD   66,99.00%,Brad Hoylman-Sigal,(Working Families),391,2024-11-13_13:14:08.320903
AD   66,99.00%,WRITE-IN,,8,2024-11-13_13:14:08.320903
AD   67,98.10%,Brad Hoylman-Sigal,(Democratic),42531,2024-11-13_13:14:08.320903
AD   67,98.10%,Emily Yuexin Miller,(Republican),9392,2024-11-13_13:14:08.320903
AD   67,98.10%,Brad Hoylman-Sigal,(Working Families),3185,2024-11-13_13:14:08.320903
AD   67,98.10%,WRITE-IN,,120,2024-11-13_13:14:08.320903
AD   69,94.44%,Brad Hoylman-Sigal,(Democratic),23308,2024-11-13_13:14:08.320903
AD   69,94.44%,Emily Yuexin Miller,(Republican),3749,2024-11-13_13:14:08.320903
AD   69,94.44%,Brad Hoylman-Sigal,(Working Families),2412,2024-11-13_13:14:08.320903
AD   69,94.44%,WRITE-IN,,48,2024-11-13_13:14:08.320903
AD   75,96.47%,Brad Hoylman-Sigal,(Democratic),25508,2024-11-13_13:14:08.320903
AD   75,96.47%,Emily Yuexin Miller,(Republican),5644,2024-11-13_13:14:08.320903
AD   75,96.47%,Brad Hoylman-Sigal,(Working Families),2280,2024-11-13_13:14:08.320903
AD   75,96.47%,WRITE-IN,,74,2024-11-13_13:14:08.320903
Total,,Brad Hoylman-Sigal,(Democratic),96821,2024-11-13_13:14:08.320903
Total,,Emily Yuexin Miller,(Republican),19900,2024-11-13_13:14:08.320903
Total,,Brad Hoylman-Sigal,(Working Families),8268,2024-11-13_13:14:08.320903
Total,,WRITE-IN,,250,2024-11-13_13:14:08.320903
