boro,reported,candidate,party,votes,scrape_time
Queens,95.24%,Paul Pogozelski,(Democratic),3760,2025-07-02_13:53:42.927616
Queens,95.24%,Phil Wong,(Democratic),4259,2025-07-02_13:53:42.927616
Queens,95.24%,Dermot P. Smyth,(Democratic),3617,2025-07-02_13:53:42.927616
Queens,95.24%,WRITE-IN,,159,2025-07-02_13:53:42.927616
Total,,Paul Pogozelski,(Democratic),3760,2025-07-02_13:53:42.927616
Total,,Phil Wong,(Democratic),4259,2025-07-02_13:53:42.927616
Total,,Dermot P. Smyth,(Democratic),3617,2025-07-02_13:53:42.927616
Total,,WRITE-IN,,159,2025-07-02_13:53:42.927616
