boro,reported,candidate,party,votes,scrape_time
New York,96.06%,Robert Jackson,(Democratic),37427,2024-11-13_13:14:02.926703
New York,96.06%,Robert Jackson,(Working Families),6366,2024-11-13_13:14:02.926703
New York,96.06%,WRITE-IN,,311,2024-11-13_13:14:02.926703
Bronx,98.81%,Robert Jackson,(Democratic),17867,2024-11-13_13:14:02.926703
Bronx,98.81%,Robert Jackson,(Working Families),1950,2024-11-13_13:14:02.926703
Bronx,98.81%,WRITE-IN,,123,2024-11-13_13:14:02.926703
Total,,Robert Jackson,(Democratic),55294,2024-11-13_13:14:02.926703
Total,,Robert Jackson,(Working Families),8316,2024-11-13_13:14:02.926703
Total,,WRITE-IN,,434,2024-11-13_13:14:02.926703
