AD_num,reported,candidate,party,votes,scrape_time
AD   71,96.97%,Robert Jackson,(Democratic),14909,2024-11-07_14:08:15.383646
AD   71,96.97%,Robert Jackson,(Working Families),2661,2024-11-07_14:08:15.383646
AD   71,96.97%,WRITE-IN,,129,2024-11-07_14:08:15.383646
AD   72,94.57%,Robert Jackson,(Democratic),22518,2024-11-07_14:08:15.383646
AD   72,94.57%,Robert Jackson,(Working Families),3705,2024-11-07_14:08:15.383646
AD   72,94.57%,WRITE-IN,,182,2024-11-07_14:08:15.383646
AD   77,99.00%,Robert Jackson,(Democratic),3278,2024-11-07_14:08:15.383646
AD   77,99.00%,Robert Jackson,(Working Families),217,2024-11-07_14:08:15.383646
AD   77,99.00%,WRITE-IN,,13,2024-11-07_14:08:15.383646
AD   78,96.43%,Robert Jackson,(Democratic),3806,2024-11-07_14:08:15.383646
AD   78,96.43%,Robert Jackson,(Working Families),383,2024-11-07_14:08:15.383646
AD   78,96.43%,WRITE-IN,,23,2024-11-07_14:08:15.383646
AD   81,99.00%,Robert Jackson,(Democratic),6344,2024-11-07_14:08:15.383646
AD   81,99.00%,Robert Jackson,(Working Families),954,2024-11-07_14:08:15.383646
AD   81,99.00%,WRITE-IN,,68,2024-11-07_14:08:15.383646
AD   86,97.62%,Robert Jackson,(Democratic),4439,2024-11-07_14:08:15.383646
AD   86,97.62%,Robert Jackson,(Working Families),396,2024-11-07_14:08:15.383646
AD   86,97.62%,WRITE-IN,,19,2024-11-07_14:08:15.383646
Total,,Robert Jackson,(Democratic),55294,2024-11-07_14:08:15.383646
Total,,Robert Jackson,(Working Families),8316,2024-11-07_14:08:15.383646
Total,,WRITE-IN,,434,2024-11-07_14:08:15.383646
