boro,reported,candidate,party,votes,scrape_time
New York,99.00%,Charles D. Fall,(Democratic),6151,2024-11-13_13:14:27.963987
New York,99.00%,WRITE-IN,,92,2024-11-13_13:14:27.963987
Kings,99.00%,Charles D. Fall,(Democratic),1,2024-11-13_13:14:27.963987
Kings,99.00%,WRITE-IN,,-,2024-11-13_13:14:27.963987
Richmond,94.74%,Charles D. Fall,(Democratic),24136,2024-11-13_13:14:27.963987
Richmond,94.74%,WRITE-IN,,586,2024-11-13_13:14:27.963987
Total,,Charles D. Fall,(Democratic),30288,2024-11-13_13:14:27.963987
Total,,WRITE-IN,,678,2024-11-13_13:14:27.963987
